k,o_k,d_k,w_k,q_k,e_k,l_k
8,3,6,5,32.37,648,1080
49,12,6,4,34.98,942,1260
60,1,2,7,33.62,1022,1260
117,5,4,10,25.96,863,1260
148,11,9,6,29.62,620,1080
313,15,2,9,25.08,724,1080
465,3,10,2,20.79,536,840
533,8,9,3,4.79,913,1260
703,10,1,10,20.42,855,1260
731,6,5,9,4.9,538,840
767,11,7,8,35,922,1260
828,3,10,3,25.24,583,840
905,7,2,10,7.47,556,840
1069,2,9,9,15.92,830,1080
1072,3,2,10,21.72,570,840
1122,6,7,2,38.41,691,1080
1318,5,4,6,23.42,867,1260
1414,13,3,4,17.55,505,840
1566,12,1,2,14.46,559,840
1740,1,5,3,13.36,894,1260
1787,15,1,7,33.3,421,840
1860,11,7,9,26.35,1056,1260
1883,7,2,7,35.64,523,840
2359,5,9,4,27.19,762,1080
2377,13,4,7,25.92,804,1080
2421,1,2,1,12.96,1010,1260
2542,1,3,7,12.01,784,1080
2564,11,6,4,13.7,928,1260
2635,5,3,8,5.63,908,1260
2776,8,7,4,25.95,472,840
2925,10,8,5,4.68,930,1260
3024,10,7,1,6.83,747,1080
3032,14,3,3,24.22,780,1080
3174,6,9,4,18.3,1075,1260
3187,1,5,7,12.84,746,1080
3391,3,8,10,4.51,1031,1260
3589,15,7,3,35.97,835,1080
3659,11,10,8,39.98,619,1080
3713,14,4,5,20.57,999,1260
3749,6,7,6,30.15,1066,1260
3802,14,7,7,24.29,410,840
3808,4,2,8,37.63,684,1080
3896,13,7,1,28.54,695,1080
3904,7,5,3,37.26,891,1260
4085,10,6,5,9.7,440,840
4099,9,2,4,7.75,994,1260
4229,2,1,3,5.5,959,1260
4262,4,10,3,10.49,641,1080
4395,4,5,1,35.19,427,840
4405,6,4,5,27.78,603,1080
4597,5,2,3,36.29,614,1080
4803,2,7,9,12.22,662,1080
4812,5,6,8,5.73,784,1080
4817,5,3,6,23.45,412,840
4830,1,9,5,8.33,1000,1260
4894,13,8,1,8.27,447,840
5016,13,9,1,41.04,807,1080
5158,8,9,2,13.74,373,840
5235,13,2,6,24.1,705,1080
5237,15,7,7,24.86,490,840
5297,7,10,5,18.71,547,840
5458,13,10,9,24.23,1018,1260
5544,6,8,3,37.42,977,1260
5578,15,9,4,36.69,943,1260
5609,14,3,5,28.92,376,840
6039,8,10,10,39.75,660,1080
6051,4,6,9,12.01,825,1080
6415,8,6,1,12.83,576,840
6449,4,2,2,11.6,781,1080
6550,3,6,3,14.32,503,840
6580,14,3,9,7.39,653,1080
6726,15,1,2,23.18,731,1080
6738,15,9,3,16.81,638,1080
6857,11,4,9,23.95,500,840
6884,2,1,8,22.3,479,840
6921,9,4,8,38.38,920,1260
7034,12,9,1,29.89,583,840
7136,4,3,4,9.71,719,1080
7679,7,1,8,17.48,552,840
7720,2,1,1,16.62,1002,1260
8080,10,8,4,41.76,362,840
8164,10,4,9,19.02,618,1080
8209,7,8,9,14.36,872,1260
8290,6,7,4,21.91,380,840
8401,11,6,3,14.23,792,1080
8567,1,8,5,39.76,605,1080
8578,7,6,7,34.41,516,840
8607,13,5,1,24.06,1063,1260
8618,9,7,3,30.77,1001,1260
8697,15,3,3,38.43,744,1080
8896,10,6,10,35.44,708,1080
8897,13,6,10,25.64,574,840
9221,8,2,3,33.05,1002,1260
9236,14,3,9,32.65,965,1260
9251,3,10,5,12.9,800,1080
9258,11,3,2,19.09,454,840
9284,13,10,1,17.68,623,1080
9496,3,8,7,5.72,1074,1260
9571,12,1,5,24.52,1013,1260
9809,2,5,2,17.24,413,840
