k,o_k,d_k,w_k,q_k,e_k,l_k
1,6,1,10,10.44,604,1080
2,9,5,10,4.4,899,1260
3,7,14,3,17.4,931,1260
4,15,20,4,18.9,840,1260
5,11,20,6,1.2,1029,1260
6,5,20,9,13.1,536,840
7,8,13,2,24.7,873,1260
8,3,18,5,25.5,648,1080
9,5,19,3,12,487,840
10,1,9,6,24,789,1080
11,12,15,2,11.1,686,1080
12,2,14,2,23.6,906,1260
13,13,18,7,22,396,840
14,19,18,6,8.9,416,840
15,7,15,6,18.7,504,840
16,8,4,8,15.6,869,1260
17,15,3,6,2.9,732,1080
18,18,12,7,17.8,622,1080
19,11,6,2,11.8,985,1260
20,18,4,7,3.6,994,1260
21,1,13,4,9.4,864,1260
22,13,1,1,12.3,406,840
23,20,15,6,17.7,693,1080
24,17,20,8,9.1,1062,1260
25,12,8,3,5.4,1071,1260
26,8,20,1,13.2,560,840
27,14,17,10,17.2,686,1080
28,5,19,3,5.4,393,840
29,14,9,3,8.6,405,840
30,18,1,3,22.9,688,1080
31,1,9,5,9.6,421,840
32,10,8,7,20.8,449,840
33,3,11,4,1.7,701,1080
34,6,19,3,12.5,994,1260
35,5,8,7,15.4,520,840
36,14,20,1,14.9,505,840
37,1,15,3,3.7,981,1260
38,18,15,5,6.8,653,1080
39,9,18,3,17.8,970,1260
40,6,20,4,9.9,746,1080
41,6,1,3,3.5,550,840
42,7,11,9,18.2,540,840
43,2,13,5,10.2,543,840
44,14,17,7,13.8,559,840
45,3,13,2,1.4,1009,1260
46,19,5,9,19.7,530,840
47,13,15,8,11.7,769,1080
48,11,6,7,16.6,885,1260
49,2,12,4,22.6,942,1260
50,13,19,4,13.7,849,1260
51,6,18,9,14.7,966,1260
52,4,1,8,25,1039,1260
53,17,12,6,18.4,988,1260
54,6,2,7,1.9,683,1080
55,7,17,2,26,584,840
56,5,18,2,21.2,823,1080
57,12,16,7,9,617,1080
58,2,20,9,24.6,493,840
59,14,20,10,5.2,523,840
60,7,9,7,15.3,1022,1260
61,6,9,6,17.4,957,1260
62,12,2,9,9.6,904,1260
63,11,18,2,6.3,981,1260
64,14,20,2,22.2,845,1260
65,11,16,9,20.2,1044,1260
66,9,1,1,6.8,863,1260
67,4,8,7,10.2,1035,1260
68,6,13,6,23.2,428,840
69,18,17,10,14.5,859,1260
70,19,12,4,15.4,612,1080
71,16,1,1,20.1,904,1260
72,6,2,2,5.2,433,840
73,19,10,1,4.7,918,1260
74,6,20,8,16.3,753,1080
75,6,1,3,23.8,641,1080
76,13,8,5,20.8,801,1080
77,17,20,2,25.3,378,840
78,3,10,6,21.3,510,840
79,9,3,1,5.4,522,840
80,8,19,9,3.8,363,840
81,6,2,3,17.4,937,1260
82,5,10,10,5.4,518,840
83,10,3,4,13.3,799,1080
84,1,13,9,12.4,803,1080
85,7,13,8,20.8,372,840
86,18,8,3,10.7,364,840
87,20,18,8,18.1,583,840
88,2,1,2,4.4,558,840
89,5,9,9,9.9,919,1260
90,19,2,4,25,749,1080
91,3,6,8,20.1,927,1260
92,20,12,10,5.2,512,840
93,16,15,5,14.4,648,1080
94,4,2,3,22,682,1080
95,8,10,2,26,1058,1260
96,15,10,10,3.6,984,1260
97,9,11,1,19.7,698,1080
98,12,13,10,8.2,417,840
99,19,14,3,1.3,494,840
100,4,14,7,20,1043,1260
101,6,9,3,15.5,362,840
102,5,10,1,14.5,429,840
103,20,4,9,16.3,886,1260
104,11,20,5,22.3,740,1080
105,2,4,10,12.9,733,1080
106,10,13,10,21.3,558,840
107,10,14,3,16.7,744,1080
108,18,8,7,22.2,995,1260
109,5,1,5,14.9,866,1260
110,13,18,7,23.2,835,1080
111,4,2,3,7.1,763,1080
112,7,5,7,16.2,511,840
113,15,11,9,9.1,532,840
114,6,1,8,2.5,593,840
115,14,4,9,9.8,673,1080
116,15,6,10,8,828,1080
117,13,20,10,15.3,863,1260
118,10,2,1,2.1,426,840
119,9,8,3,14.8,864,1260
120,19,11,7,16.6,560,840
121,7,18,5,20.6,836,1080
122,11,8,8,11,368,840
123,15,10,1,16.6,451,840
124,11,17,8,12.6,685,1080
125,19,6,7,15.7,416,840
126,12,14,8,20.6,456,840
127,20,7,5,13.4,1040,1260
128,2,20,6,3,621,1080
129,18,15,3,3,367,840
130,5,3,10,12.4,437,840
131,11,5,1,8,636,1080
132,11,7,8,9.8,1043,1260
133,14,1,4,17.3,493,840
134,12,7,5,11.3,1052,1260
135,8,19,6,24.5,909,1260
136,7,18,4,21.7,663,1080
137,19,4,2,6,1053,1260
138,15,7,9,17.8,670,1080
139,17,2,1,24.4,1032,1260
140,12,16,8,25,523,840
141,20,1,6,7.4,808,1080
142,18,13,10,22.4,474,840
143,6,9,3,11.5,956,1260
144,8,7,7,25.3,795,1080
145,8,2,4,2.7,1007,1260
146,18,14,6,3.5,1074,1260
147,11,7,7,19.1,392,840
148,9,13,6,22,620,1080
149,18,15,5,21.4,689,1080
150,18,20,4,16.5,984,1260
151,15,4,1,24.8,370,840
152,15,3,3,7,556,840
153,2,13,1,8,965,1260
154,7,4,9,16,576,840
155,11,4,8,25.2,869,1260
156,5,9,3,24.5,733,1080
157,9,18,1,8.1,688,1080
158,11,7,4,20.4,374,840
159,8,13,9,25.2,611,1080
160,18,20,6,5.8,867,1260
161,9,20,7,24,873,1260
162,12,11,1,8.4,848,1260
163,11,13,3,1.3,557,840
164,16,14,9,24,894,1260
165,5,20,7,12.6,1018,1260
166,6,2,5,11.2,984,1260
167,19,6,6,24.5,750,1080
168,3,15,9,3.1,903,1260
169,10,19,7,24,1025,1260
170,11,16,7,12.9,1075,1260
171,9,14,8,12.8,474,840
172,7,8,7,4.6,932,1260
173,18,15,8,10.7,533,840
174,7,19,8,11.6,475,840
175,2,15,7,23.3,993,1260
176,8,3,3,24.2,434,840
177,16,18,5,11.6,632,1080
178,9,1,3,9,374,840
179,15,19,6,19.3,653,1080
180,5,4,2,2.3,626,1080
181,1,15,2,20,1046,1260
182,20,8,6,16.3,552,840
183,20,14,2,9,465,840
184,20,15,9,7.8,375,840
185,11,10,1,19.8,523,840
186,4,7,1,15.1,1061,1260
187,20,14,7,6,632,1080
188,7,10,1,17.7,1061,1260
189,11,16,4,19.5,630,1080
190,19,4,4,22.5,727,1080
191,14,18,7,25.3,855,1260
192,17,14,6,7.9,824,1080
193,19,14,4,3.9,555,840
194,7,19,4,18.7,569,840
195,9,14,2,8.6,872,1260
196,18,19,7,14.1,625,1080
197,13,7,7,22.3,778,1080
198,17,16,5,24.7,797,1080
199,3,11,7,1.9,623,1080
200,7,16,7,15,688,1080
201,14,11,7,3,729,1080
202,19,13,5,9.9,497,840
203,18,15,3,21.3,831,1080
204,6,20,3,9.3,748,1080
205,2,1,10,17.6,564,840
206,3,14,8,18.4,780,1080
207,10,18,1,12.1,647,1080
208,18,2,2,8.3,636,1080
209,20,1,9,22.9,576,840
210,7,9,1,22.2,1009,1260
211,8,9,7,25.9,1036,1260
212,9,19,4,5.3,952,1260
213,10,20,8,20.9,849,1260
214,18,13,1,14.5,773,1080
215,12,20,5,4.2,602,1080
216,17,1,10,15.8,729,1080
217,13,12,6,4.1,588,840
218,13,19,10,5.3,608,1080
219,18,19,5,18.4,393,840
220,10,7,6,23,778,1080
221,7,12,3,12.8,497,840
222,10,5,5,4.4,977,1260
223,6,18,9,8.2,984,1260
224,11,15,6,15.8,450,840
225,17,18,4,19.8,439,840
226,13,7,9,7.6,1000,1260
227,14,4,8,10.9,844,1260
228,8,5,5,14.4,688,1080
229,13,10,3,23.2,682,1080
230,9,6,4,13.8,650,1080
231,11,17,7,14.5,565,840
232,12,6,8,25.5,476,840
233,13,15,9,19.1,680,1080
234,17,15,7,11,718,1080
235,13,20,7,12.8,852,1260
236,19,16,2,20.2,892,1260
237,17,19,3,6.4,860,1260
238,2,10,3,23.3,691,1080
239,6,8,4,5.7,893,1260
240,13,8,7,18.5,703,1080
241,13,17,1,8.4,558,840
242,12,8,7,2.9,929,1260
243,6,4,10,16.2,824,1080
244,7,19,7,6.5,849,1260
245,15,5,9,13.4,1017,1260
246,13,4,5,23.1,1009,1260
247,5,20,10,4.2,370,840
248,11,6,9,17,699,1080
249,4,9,3,3.6,732,1080
250,10,6,8,9.8,629,1080
251,15,19,6,16.7,894,1260
252,4,15,4,11.8,705,1080
253,13,4,4,22.5,891,1260
254,12,16,3,10.4,784,1080
255,6,4,4,22,638,1080
256,12,6,2,2,578,840
257,14,8,6,15.5,392,840
258,14,15,5,21.4,489,840
259,14,12,5,1.2,408,840
260,5,2,6,3.7,679,1080
261,14,7,7,5.8,1005,1260
262,10,2,1,3,652,1080
263,7,4,9,7.1,1025,1260
264,2,1,1,17.7,483,840
265,9,10,10,2.4,588,840
266,18,12,10,17.9,720,1080
267,13,9,2,1.1,408,840
268,1,3,6,14.4,872,1260
269,10,15,9,7.8,737,1080
270,9,4,5,6.8,949,1260
271,20,1,8,4.2,480,840
272,18,1,5,8.9,594,840
273,3,13,10,2.2,585,840
274,16,19,4,3.4,776,1080
275,20,13,3,14.8,859,1260
276,18,13,6,8.3,688,1080
277,9,10,3,16.7,438,840
278,17,11,8,4.6,738,1080
279,11,13,10,16.8,989,1260
280,19,11,8,10.3,746,1080
281,6,15,3,3.6,1053,1260
282,3,17,3,10.5,679,1080
283,6,2,7,2,733,1080
284,9,6,4,16.6,910,1260
285,18,10,3,22.8,813,1080
286,20,7,7,19,789,1080
287,11,5,3,6.9,737,1080
288,11,8,10,18,620,1080
289,14,20,1,11.6,666,1080
290,11,16,6,6.7,870,1260
291,8,17,9,12.3,1039,1260
292,3,9,5,11.5,678,1080
293,11,1,10,9,664,1080
294,15,19,8,11,455,840
295,14,15,9,24.6,584,840
296,3,19,6,3,793,1080
297,7,13,2,14.8,792,1080
298,11,5,6,5.6,725,1080
299,8,2,2,15.4,768,1080
300,15,11,3,3.8,378,840
301,6,5,10,13.6,474,840
302,10,4,7,4.9,583,840
303,17,16,1,4.2,675,1080
304,11,6,4,7,700,1080
305,16,13,1,9.5,830,1080
306,17,9,8,10.5,525,840
307,5,8,3,2.9,1023,1260
308,7,3,7,2,468,840
309,2,13,2,3.4,746,1080
310,14,3,10,6.1,536,840
311,4,6,10,6.9,872,1260
312,10,12,8,3,799,1080
313,2,14,9,2.6,724,1080
314,4,3,7,12.1,995,1260
315,6,2,4,5.4,581,840
316,12,15,7,23.4,658,1080
317,12,4,5,20,713,1080
318,11,8,6,20.3,854,1260
319,17,8,4,4.7,488,840
320,6,4,1,7.4,499,840
321,19,15,8,9.6,1032,1260
322,13,11,6,23.7,488,840
323,12,20,10,15.1,479,840
324,18,9,10,13.4,731,1080
325,19,8,3,23.3,834,1080
326,5,16,7,17.7,1025,1260
327,12,3,1,10.9,878,1260
328,14,4,10,4.3,1029,1260
329,16,13,2,6.3,828,1080
330,14,3,3,20.2,873,1260
331,15,9,8,25,1050,1260
332,17,1,8,10.9,562,840
333,4,11,5,7.5,777,1080
334,11,5,4,17,929,1260
335,8,4,3,16.3,625,1080
336,19,6,6,12.3,668,1080
337,6,20,4,19.3,869,1260
338,2,4,9,8.1,810,1080
339,6,4,3,21.8,1069,1260
340,20,19,1,9.8,1039,1260
341,3,12,6,15.6,1070,1260
342,14,11,8,3.5,385,840
343,16,13,8,13.1,949,1260
344,6,4,5,20.1,700,1080
345,19,2,4,22.7,1077,1260
346,11,14,7,10.1,625,1080
347,17,1,6,22.6,772,1080
348,13,12,3,11.9,897,1260
349,13,1,2,10.4,505,840
350,4,13,7,18.9,667,1080
351,16,20,10,7.4,657,1080
352,12,10,2,24.8,630,1080
353,15,17,3,11.7,530,840
354,17,8,2,7.3,831,1080
355,8,3,2,13.5,540,840
356,18,6,10,25.5,755,1080
357,1,20,9,13.4,449,840
358,4,17,5,8.9,722,1080
359,10,17,2,4.5,654,1080
360,19,4,4,10.8,384,840
361,1,9,3,14.8,525,840
362,20,10,7,25.3,685,1080
363,13,11,8,7.5,501,840
364,2,17,5,7.1,832,1080
365,10,13,8,9.6,529,840
366,14,10,2,1.7,717,1080
367,13,1,7,5.6,371,840
368,13,12,3,24.7,384,840
369,6,4,7,20.9,1015,1260
370,15,13,10,24.7,593,840
371,8,12,8,24.6,1063,1260
372,8,12,8,13.5,1065,1260
373,4,3,2,17.8,810,1080
374,8,13,2,25,443,840
375,16,13,1,5.9,603,1080
376,13,3,2,12.1,595,840
377,1,15,8,24.6,646,1080
378,3,8,2,10.5,835,1080
379,17,3,2,19.8,1042,1260
380,12,3,6,13.1,997,1260
381,13,16,8,12.8,534,840
382,11,19,2,19.9,752,1080
383,20,9,9,7.8,885,1260
384,16,17,6,23.8,788,1080
385,10,9,10,7.1,550,840
386,7,9,1,16.8,582,840
387,11,1,3,12.6,464,840
388,7,18,10,4.4,1066,1260
389,12,8,2,12.6,628,1080
390,3,17,9,17.7,418,840
391,8,7,4,14.1,1043,1260
392,11,10,2,15.9,482,840
393,3,7,9,20.1,649,1080
394,17,20,2,11.9,544,840
395,10,15,9,1.5,971,1260
396,6,12,7,2.2,636,1080
397,14,16,5,11.8,934,1260
398,18,1,1,24.2,1057,1260
399,17,15,3,14.8,785,1080
400,10,7,4,17.1,927,1260
401,17,15,4,13.2,1078,1260
402,9,15,3,24.7,773,1080
403,12,5,5,15.9,547,840
404,19,16,10,19.7,685,1080
405,5,16,7,6.8,458,840
406,17,5,3,12.4,670,1080
407,9,17,3,20.3,677,1080
408,10,5,8,12.4,906,1260
409,5,3,7,8,775,1080
410,1,2,10,20.4,1002,1260
411,8,1,6,12,370,840
412,8,6,5,10,865,1260
413,16,8,5,15.3,844,1260
414,1,6,6,1.2,1005,1260
415,13,4,9,15.6,621,1080
416,4,8,8,7.8,952,1260
417,16,8,7,16.5,918,1260
418,18,4,10,1.8,419,840
419,19,5,6,1.5,725,1080
420,1,17,9,12,526,840
421,10,11,4,25.3,637,1080
422,19,15,1,18.4,935,1260
423,11,17,7,12.2,528,840
424,18,11,9,18.4,582,840
425,15,17,9,4.4,719,1080
426,5,8,4,6.4,692,1080
427,1,3,1,6.9,1041,1260
428,19,10,9,7.2,473,840
429,10,20,10,20.4,926,1260
430,12,9,8,11.4,532,840
431,20,19,4,12.1,362,840
432,17,13,9,18.5,998,1260
433,4,13,4,25.5,719,1080
434,2,7,5,7.4,762,1080
435,1,8,7,6.9,795,1080
436,16,11,6,6,859,1260
437,9,13,9,13.2,1053,1260
438,8,15,4,13.6,554,840
439,9,5,4,6.3,736,1080
440,8,20,9,18.1,446,840
441,12,1,4,7.6,367,840
442,14,18,5,7.3,863,1260
443,8,15,4,11.6,596,840
444,3,18,7,16.8,380,840
445,3,9,3,3.7,550,840
446,12,9,4,5.1,1061,1260
447,5,4,3,8.7,641,1080
448,7,10,4,1.3,650,1080
449,2,3,1,18.3,618,1080
450,1,19,3,24.4,1079,1260
451,8,16,10,10.8,398,840
