k,o_k,d_k,w_k,q_k,e_k,l_k
1,12,3,10,6.3,604,1080
2,18,12,10,4.4,899,1260
3,25,19,3,17.4,931,1260
4,13,7,4,18.9,840,1260
5,15,17,6,1.2,1029,1260
6,16,1,9,13.1,536,840
7,24,19,2,24.7,873,1260
8,2,15,5,25.5,648,1080
9,20,2,3,12,487,840
10,23,8,6,24,789,1080
11,14,24,2,11.1,686,1080
12,18,11,2,23.6,906,1260
13,21,18,7,22,396,840
14,16,20,6,8.9,416,840
15,17,15,6,18.7,504,840
16,3,1,8,15.6,869,1260
17,3,12,6,2.9,732,1080
18,17,1,7,17.8,622,1080
19,15,18,2,11.8,985,1260
20,16,7,7,3.6,994,1260
21,3,5,4,9.4,864,1260
22,23,20,1,12.3,406,840
23,21,17,6,17.7,693,1080
24,2,1,8,9.1,1062,1260
25,13,4,3,5.4,1071,1260
26,14,19,1,13.2,560,840
27,4,9,10,17.2,686,1080
28,6,12,3,5.4,393,840
29,7,5,3,8.6,405,840
30,14,6,3,22.9,688,1080
31,22,21,5,9.6,421,840
32,23,25,7,20.8,449,840
33,18,5,4,1.7,701,1080
34,17,7,3,12.5,994,1260
35,11,2,7,15.4,520,840
36,22,9,1,14.9,505,840
37,3,14,3,3.7,981,1260
38,16,25,5,6.8,653,1080
39,1,21,3,17.8,970,1260
40,21,1,4,9.9,746,1080
41,10,20,3,3.5,550,840
42,1,18,9,18.2,540,840
43,19,10,5,10.2,543,840
44,15,25,7,13.8,559,840
45,22,12,2,1.4,1009,1260
46,12,13,9,19.7,530,840
47,23,17,8,11.7,769,1080
48,6,7,7,16.6,885,1260
49,9,2,4,22.6,942,1260
50,4,9,4,13.7,849,1260
51,9,4,9,14.7,966,1260
52,1,14,8,25,1039,1260
53,18,5,6,18.4,988,1260
54,22,15,7,1.9,683,1080
55,9,7,2,26,584,840
56,19,22,2,21.2,823,1080
57,3,21,7,9,617,1080
58,16,2,9,24.6,493,840
59,7,16,10,5.2,523,840
60,1,10,7,15.3,1022,1260
61,23,22,6,17.4,957,1260
62,18,23,9,9.6,904,1260
63,20,14,2,6.3,981,1260
64,17,21,2,22.2,845,1260
65,10,12,9,20.2,1044,1260
66,1,8,1,6.8,863,1260
67,8,17,7,10.2,1035,1260
68,8,7,6,23.2,428,840
69,10,7,10,14.5,859,1260
70,19,13,4,15.4,612,1080
71,14,1,1,20.1,904,1260
72,11,8,2,5.2,433,840
73,11,13,1,4.7,918,1260
74,11,6,8,16.3,753,1080
75,5,8,3,23.8,641,1080
76,21,5,5,20.8,801,1080
77,3,25,2,25.3,378,840
78,5,20,6,21.3,510,840
79,4,21,1,5.4,522,840
80,2,14,9,3.8,363,840
81,19,18,3,17.4,937,1260
82,11,14,10,5.4,518,840
83,19,3,4,13.3,799,1080
84,24,18,9,12.4,803,1080
85,7,9,8,20.8,372,840
86,24,5,3,10.7,364,840
87,9,4,8,18.1,583,840
88,19,25,2,4.4,558,840
89,22,3,9,9.9,919,1260
90,13,4,4,25,749,1080
91,7,5,8,20.1,927,1260
92,14,7,10,5.2,512,840
93,8,6,5,14.4,648,1080
94,17,3,3,22,682,1080
95,13,6,2,26,1058,1260
96,16,21,10,3.6,984,1260
97,24,14,1,19.7,698,1080
98,8,25,10,8.2,417,840
99,22,5,3,1.3,494,840
100,19,9,7,20,1043,1260
101,12,24,3,15.5,362,840
102,19,5,1,14.5,429,840
103,7,5,9,16.3,886,1260
104,22,12,5,22.3,740,1080
105,8,2,10,12.9,733,1080
106,12,8,10,21.3,558,840
107,2,21,3,16.7,744,1080
108,7,22,7,22.2,995,1260
109,22,10,5,14.9,866,1260
110,15,21,7,23.2,835,1080
111,12,7,3,7.1,763,1080
112,20,9,7,16.2,511,840
113,15,23,9,9.1,532,840
114,24,20,8,2.5,593,840
115,13,1,9,9.8,673,1080
116,3,25,10,8,828,1080
117,1,23,10,15.3,863,1260
118,20,17,1,2.1,426,840
119,13,24,3,14.8,864,1260
120,9,4,7,16.6,560,840
121,11,2,5,20.6,836,1080
122,17,8,8,11,368,840
123,18,8,1,16.6,451,840
124,23,2,8,12.6,685,1080
125,9,3,7,15.7,416,840
126,9,14,8,20.6,456,840
127,15,3,5,13.4,1040,1260
128,20,13,6,3,621,1080
129,18,13,3,3,367,840
130,5,13,10,12.4,437,840
131,25,22,1,8,636,1080
132,15,8,8,9.8,1043,1260
133,8,18,4,17.3,493,840
134,1,7,5,11.3,1052,1260
135,11,14,6,24.5,909,1260
136,24,14,4,21.7,663,1080
137,9,20,2,6,1053,1260
138,9,2,9,17.8,670,1080
139,7,4,1,24.4,1032,1260
140,3,8,8,25,523,840
141,21,1,6,7.4,808,1080
142,12,5,10,22.4,474,840
143,18,25,3,11.5,956,1260
144,10,2,7,25.3,795,1080
145,3,24,4,2.7,1007,1260
146,1,22,6,3.5,1074,1260
147,4,19,7,19.1,392,840
148,4,5,6,22,620,1080
149,13,9,5,21.4,689,1080
150,14,18,4,16.5,984,1260
151,20,8,1,24.8,370,840
152,23,3,3,7,556,840
153,23,1,1,8,965,1260
154,4,19,9,16,576,840
155,13,14,8,25.2,869,1260
156,23,9,3,24.5,733,1080
157,19,15,1,8.1,688,1080
158,10,23,4,20.4,374,840
159,9,2,9,25.2,611,1080
160,17,13,6,5.8,867,1260
161,11,21,7,24,873,1260
162,3,25,1,8.4,848,1260
163,12,13,3,1.3,557,840
164,24,3,9,24,894,1260
165,25,8,7,12.6,1018,1260
166,17,5,5,11.2,984,1260
167,14,25,6,24.5,750,1080
168,23,2,9,3.1,903,1260
169,11,2,7,24,1025,1260
170,5,17,7,12.9,1075,1260
171,10,25,8,12.8,474,840
172,21,14,7,4.6,932,1260
173,21,22,8,10.7,533,840
174,11,20,8,11.6,475,840
175,23,6,7,23.3,993,1260
176,22,8,3,24.2,434,840
177,23,17,5,11.6,632,1080
178,11,1,3,9,374,840
179,5,21,6,19.3,653,1080
180,5,8,2,2.3,626,1080
181,19,18,2,20,1046,1260
182,7,16,6,16.3,552,840
183,18,14,2,9,465,840
184,6,15,9,7.8,375,840
185,4,14,1,19.8,523,840
186,16,5,1,15.1,1061,1260
187,11,22,7,6,632,1080
188,6,18,1,17.7,1061,1260
189,6,11,4,19.5,630,1080
190,20,19,4,22.5,727,1080
191,10,1,7,25.3,855,1260
192,18,19,6,7.9,824,1080
193,22,17,4,3.9,555,840
194,15,22,4,18.7,569,840
195,18,20,2,8.6,872,1260
196,1,9,7,14.1,625,1080
197,22,12,7,22.3,778,1080
198,13,16,5,24.7,797,1080
199,19,9,7,1.9,623,1080
200,6,14,7,15,688,1080
201,4,7,7,3,729,1080
202,21,17,5,9.9,497,840
203,14,8,3,21.3,831,1080
204,20,14,3,9.3,748,1080
205,2,7,10,17.6,564,840
206,10,20,8,18.4,780,1080
207,23,17,1,12.1,647,1080
208,11,15,2,8.3,636,1080
209,11,3,9,22.9,576,840
210,24,17,1,22.2,1009,1260
211,5,11,7,25.9,1036,1260
212,15,25,4,5.3,952,1260
213,20,6,8,20.9,849,1260
214,4,9,1,14.5,773,1080
215,23,21,5,4.2,602,1080
216,20,1,10,15.8,729,1080
217,20,22,6,4.1,588,840
218,10,24,10,5.3,608,1080
219,18,22,5,18.4,393,840
220,21,7,6,23,778,1080
221,23,7,3,12.8,497,840
222,24,1,5,4.4,977,1260
223,6,14,9,8.2,984,1260
224,10,2,6,15.8,450,840
225,11,14,4,19.8,439,840
226,25,12,9,7.6,1000,1260
227,17,9,8,10.9,844,1260
228,6,12,5,14.4,688,1080
229,6,4,3,23.2,682,1080
230,15,19,4,13.8,650,1080
231,3,16,7,14.5,565,840
232,13,23,8,25.5,476,840
233,18,24,9,19.1,680,1080
234,23,6,7,11,718,1080
235,5,17,7,12.8,852,1260
236,17,10,2,20.2,892,1260
237,9,22,3,6.4,860,1260
238,22,4,3,23.3,691,1080
239,7,23,4,5.7,893,1260
240,9,17,7,18.5,703,1080
241,4,24,1,8.4,558,840
242,2,22,7,2.9,929,1260
243,9,1,10,16.2,824,1080
244,17,13,7,6.5,849,1260
245,18,22,9,13.4,1017,1260
246,12,21,5,23.1,1009,1260
247,7,17,10,4.2,370,840
248,24,1,9,17,699,1080
249,12,7,3,3.6,732,1080
250,15,2,8,9.8,629,1080
251,20,1,6,16.7,894,1260
252,21,22,4,11.8,705,1080
253,10,12,4,22.5,891,1260
254,14,22,3,10.4,784,1080
255,6,14,4,22,638,1080
256,7,11,2,2,578,840
257,10,9,6,15.5,392,840
258,22,8,5,21.4,489,840
259,13,5,5,1.2,408,840
260,17,4,6,3.7,679,1080
261,5,15,7,5.8,1005,1260
262,23,18,1,3,652,1080
263,24,2,9,7.1,1025,1260
264,3,8,1,17.7,483,840
265,5,6,10,2.4,588,840
266,6,20,10,17.9,720,1080
267,1,18,2,1.1,408,840
268,8,18,6,14.4,872,1260
269,16,3,9,7.8,737,1080
270,11,14,5,6.8,949,1260
271,14,20,8,4.2,480,840
272,9,17,5,8.9,594,840
273,25,9,10,2.2,585,840
274,15,2,4,3.4,776,1080
275,6,8,3,14.8,859,1260
276,2,23,6,8.3,688,1080
277,13,1,3,16.7,438,840
278,20,1,8,4.6,738,1080
279,24,16,10,16.8,989,1260
280,16,8,8,10.3,746,1080
281,3,7,3,3.6,1053,1260
282,21,1,3,10.5,679,1080
283,18,15,7,2,733,1080
284,17,18,4,16.6,910,1260
285,4,8,3,22.8,813,1080
286,15,8,7,19,789,1080
287,24,1,3,6.9,737,1080
288,19,18,10,18,620,1080
289,24,16,1,11.6,666,1080
290,9,11,6,6.7,870,1260
291,1,16,9,12.3,1039,1260
292,16,13,5,11.5,678,1080
293,1,2,10,9,664,1080
294,17,13,8,11,455,840
295,6,14,9,24.6,584,840
296,10,9,6,3,793,1080
297,4,15,2,14.8,792,1080
298,17,3,6,5.6,725,1080
299,8,10,2,15.4,768,1080
300,6,2,3,3.8,378,840
