k,o_k,d_k,w_k,q_k,e_k,l_k
19,15,18,2,11.8,985,1260
20,16,7,7,3.6,994,1260
92,14,7,10,5.2,512,840
142,12,5,10,22.4,474,840
147,4,19,7,19.1,392,840
165,25,8,7,12.6,1018,1260
183,18,14,2,9,465,840
194,15,22,4,18.7,569,840
335,8,18,3,16.3,625,1080
355,10,13,2,13.5,540,840
393,18,6,9,20.1,649,1080
396,2,16,7,2.2,636,1080
432,16,3,9,18.5,998,1260
505,23,1,6,8,995,1260
526,14,24,10,19.9,755,1080
555,8,25,8,3.9,787,1080
612,16,2,4,3.5,1040,1260
738,3,14,9,2,974,1260
905,19,24,10,18.6,556,840
921,2,19,10,16.7,536,840
944,16,8,8,16.5,415,840
1086,14,23,1,20.5,932,1260
1134,25,20,8,21.5,901,1260
1140,19,24,10,19.6,671,1080
1148,21,18,10,16.6,366,840
1199,22,2,10,19.7,385,840
1363,2,19,2,19.8,931,1260
1364,18,5,6,7.5,664,1080
1373,24,20,7,14.1,928,1260
1375,10,24,3,10.6,564,840
1405,18,13,10,16.4,896,1260
1477,24,19,3,17.1,741,1080
1507,2,12,10,24.2,425,840
1535,6,21,3,6.3,597,840
1691,1,9,10,15.9,593,840
1821,3,1,4,14.8,731,1080
1827,24,1,3,11.6,583,840
1906,2,8,4,22.5,660,1080
1908,1,8,1,2.6,632,1080
1951,5,6,6,6,424,840
2060,4,19,7,17.9,604,1080
2170,10,21,10,3.1,1032,1260
2225,8,16,2,14.3,1041,1260
2295,7,23,1,14.2,834,1080
2296,1,11,3,24.3,458,840
2328,16,5,4,5.8,996,1260
2334,13,18,9,4,468,840
2338,3,25,6,7.6,950,1260
2371,6,9,9,22.4,874,1260
2397,14,9,2,16.5,1058,1260
2409,1,8,9,15.8,519,840
2464,2,9,6,23.9,1005,1260
2527,2,15,4,10,806,1080
2551,13,16,5,22.1,812,1080
2581,23,10,10,7.2,1007,1260
2621,3,9,1,11.8,488,840
2624,19,18,9,5.3,489,840
2632,5,21,6,24,471,840
2643,15,9,7,6,492,840
2665,9,22,9,3,768,1080
2679,10,21,3,25.4,459,840
2715,9,15,8,2.5,560,840
2731,17,3,8,18.2,526,840
2767,15,13,10,9.8,934,1260
2773,14,1,9,11.2,896,1260
2801,21,7,8,13.5,741,1080
2815,11,17,8,2.2,605,1080
2883,16,7,10,23.2,549,840
