k,o_k,d_k,w_k,q_k,e_k,l_k
1,5,9,10,12.08,604,1080
2,5,1,10,36.65,899,1260
3,6,10,3,21,931,1260
4,10,9,4,20.84,840,1260
5,5,6,6,35.42,1029,1260
6,1,4,9,34.79,536,840
7,6,4,2,33.57,873,1260
8,5,6,5,12.95,648,1080
9,9,8,3,35.86,487,840
10,4,6,6,22.9,789,1080
11,7,9,2,26.49,686,1080
12,6,3,2,19.17,906,1260
13,5,6,7,30.42,396,840
14,6,1,6,4.03,416,840
15,1,8,6,26.16,504,840
16,2,6,8,17.97,869,1260
17,3,2,6,36.82,732,1080
18,8,7,7,20.82,622,1080
19,10,3,2,6.85,985,1260
20,7,10,7,14.78,994,1260
21,3,8,4,10.81,864,1260
22,5,3,1,28.48,406,840
23,4,3,6,34.23,693,1080
24,6,8,8,25.16,1062,1260
25,7,5,3,4.97,1071,1260
26,10,4,1,10.28,560,840
27,3,6,10,26.62,686,1080
28,6,5,3,7.43,393,840
29,3,9,3,19.42,405,840
30,9,5,3,16.74,688,1080
31,3,5,5,20.77,421,840
32,7,10,7,28.09,449,840
33,2,5,4,32.13,701,1080
34,7,8,3,20.04,994,1260
35,1,5,7,5.35,520,840
36,3,8,1,16.88,505,840
37,3,2,3,32.01,981,1260
38,3,1,5,37.49,653,1080
39,8,2,3,9.96,970,1260
40,2,3,4,9.91,746,1080
41,8,5,3,31.68,550,840
42,4,10,9,26.03,540,840
43,6,10,5,22.49,543,840
44,1,7,7,17.41,559,840
45,9,10,2,15.63,1009,1260
46,5,10,9,33.75,530,840
47,8,5,8,10.39,769,1080
48,10,4,7,28.72,885,1260
49,8,6,4,10.35,942,1260
50,6,5,4,25.26,849,1260
51,5,4,9,9.53,966,1260
52,4,2,8,9.66,1039,1260
53,2,4,6,27.24,988,1260
54,1,6,7,13.4,683,1080
55,9,7,2,18.17,584,840
56,7,1,2,26.16,823,1080
57,6,4,7,6.15,617,1080
58,1,9,9,36.94,493,840
59,7,2,10,10.77,523,840
60,4,2,7,23.67,1022,1260
61,10,2,6,34.07,957,1260
62,1,3,9,4.45,904,1260
63,8,6,2,19.5,981,1260
64,6,7,2,5.07,845,1260
65,1,6,9,31.71,1044,1260
66,7,4,1,6.44,863,1260
67,9,7,7,7.47,1035,1260
68,3,10,6,16.52,428,840
69,7,9,10,35.85,859,1260
70,3,6,4,24.43,612,1080
71,5,8,1,18.57,904,1260
72,8,4,2,25.17,433,840
73,2,8,1,7.18,918,1260
74,6,3,8,9.36,753,1080
75,1,2,3,33.41,641,1080
76,1,2,5,7.25,801,1080
77,2,9,2,33.18,378,840
78,4,5,6,19.58,510,840
79,1,6,1,30.9,522,840
80,3,2,9,30.81,363,840
81,4,6,3,28.48,937,1260
82,4,6,10,9.11,518,840
83,1,8,4,18.24,799,1080
84,2,8,9,5.44,803,1080
85,3,2,8,4.78,372,840
86,5,2,3,6.29,364,840
87,1,2,8,9.89,583,840
88,1,6,2,29.19,558,840
89,7,10,9,37.67,919,1260
90,5,2,4,15.23,749,1080
91,3,1,8,12.93,927,1260
92,1,5,10,23.99,512,840
93,7,9,5,15.37,648,1080
94,8,6,3,32.91,682,1080
95,5,4,2,13.4,1058,1260
96,10,2,10,18.78,984,1260
97,7,6,1,36.03,698,1080
98,6,5,10,9.76,417,840
99,10,2,3,25.57,494,840
100,7,5,7,32.79,1043,1260
101,5,4,3,30.92,362,840
102,5,4,1,35.51,429,840
103,3,9,9,23.25,886,1260
104,4,9,5,31.71,740,1080
105,4,3,10,31.18,733,1080
106,4,8,10,26.51,558,840
107,10,9,3,6.47,744,1080
108,2,10,7,4.79,995,1260
109,6,10,5,24.04,866,1260
110,3,8,7,9.32,835,1080
111,9,8,3,13,763,1080
112,1,9,7,5.62,511,840
113,9,8,9,6.11,532,840
114,7,10,8,12.67,593,840
115,8,1,9,23.36,673,1080
116,5,1,10,23.39,828,1080
117,2,4,10,25.74,863,1260
118,6,7,1,19.6,426,840
119,7,8,3,10.59,864,1260
120,1,4,7,8.09,560,840
121,2,4,5,31.81,836,1080
122,5,9,8,10.07,368,840
123,2,8,1,35.07,451,840
124,8,7,8,10.09,685,1080
125,3,5,7,37.76,416,840
126,2,7,8,15.36,456,840
127,2,5,5,23.79,1040,1260
128,10,8,6,33.72,621,1080
129,1,6,3,13.15,367,840
130,1,3,10,32.93,437,840
131,10,1,1,35.62,636,1080
132,6,1,8,30.26,1043,1260
133,2,5,4,32.95,493,840
134,10,2,5,30.97,1052,1260
135,3,8,6,19.47,909,1260
136,4,2,4,14.65,663,1080
137,2,10,2,17.24,1053,1260
138,1,6,9,10.26,670,1080
139,10,9,1,26.9,1032,1260
140,6,9,8,13.81,523,840
141,1,4,6,22.75,808,1080
142,4,7,10,17.97,474,840
143,1,7,3,29.29,956,1260
144,1,6,7,37.52,795,1080
145,3,2,4,7.11,1007,1260
146,4,2,6,9.52,1074,1260
147,2,10,7,29.74,392,840
148,4,9,6,18.11,620,1080
149,10,2,5,36.3,689,1080
150,9,5,4,13.33,984,1260
151,8,4,1,25.47,370,840
152,2,5,3,8.32,556,840
153,5,8,1,27.79,965,1260
154,5,3,9,16.46,576,840
155,7,2,8,34.64,869,1260
156,9,3,3,22.97,733,1080
157,8,2,1,21.52,688,1080
158,4,8,4,13.61,374,840
159,6,5,9,17.42,611,1080
160,10,5,6,37.19,867,1260
161,8,6,7,9.63,873,1260
162,5,8,1,13.08,848,1260
163,8,6,3,13.44,557,840
164,7,9,9,13.27,894,1260
165,5,4,7,9.29,1018,1260
166,3,4,5,21.01,984,1260
167,9,4,6,8.54,750,1080
168,5,1,9,36.4,903,1260
169,3,1,7,13.68,1025,1260
170,9,3,7,19.27,1075,1260
171,9,5,8,35.29,474,840
172,8,3,7,17.14,932,1260
173,4,2,8,17.43,533,840
174,7,9,8,37.01,475,840
175,2,5,7,26.97,993,1260
176,4,7,3,25.98,434,840
177,1,4,5,26.97,632,1080
178,2,3,3,26.91,374,840
179,9,2,6,9.65,653,1080
180,7,4,2,25.2,626,1080
181,8,5,2,8.4,1046,1260
182,6,9,6,36.07,552,840
183,5,8,2,9.9,465,840
184,10,2,9,12.3,375,840
185,10,4,1,37.41,523,840
186,7,6,1,19.65,1061,1260
187,1,5,7,4.78,632,1080
188,7,5,1,16.11,1061,1260
189,10,4,4,31.47,630,1080
190,9,1,4,6.2,727,1080
191,1,10,7,12.38,855,1260
192,9,7,6,25.88,824,1080
193,4,2,4,8.78,555,840
194,9,3,4,10.08,569,840
195,1,10,2,16.12,872,1260
196,1,3,7,8.27,625,1080
197,4,8,7,16.12,778,1080
198,9,6,5,5.51,797,1080
199,7,4,7,5.47,623,1080
200,5,4,7,27.1,688,1080
201,10,2,7,8.92,729,1080
202,1,4,5,15.38,497,840
203,2,10,3,9.27,831,1080
204,3,4,3,17.16,748,1080
