k,o_k,d_k,w_k,q_k,e_k,l_k
8,3,6,5,32.37,648,1080
9,11,8,3,36.25,487,840
14,4,1,6,9.68,416,840
23,14,3,6,14.63,693,1080
24,3,8,8,21.6,1062,1260
26,10,4,1,39.59,560,840
27,3,6,10,17.27,686,1080
31,4,5,5,29.94,421,840
37,10,2,3,41.48,981,1260
53,8,4,6,7.71,988,1260
65,14,6,9,15.25,1044,1260
75,1,2,3,13.71,641,1080
82,5,6,10,18.52,518,840
93,14,9,5,4.15,648,1080
100,7,5,7,18.23,1043,1260
101,3,4,3,34.74,362,840
110,14,8,7,35.24,835,1080
119,1,8,3,16.96,864,1260
128,9,8,6,13.44,621,1080
133,3,5,4,19.55,493,840
146,5,2,6,29.05,1074,1260
147,3,10,7,10.12,392,840
150,3,5,4,33.52,984,1260
151,7,4,1,35.76,370,840
152,1,5,3,20.71,556,840
155,8,2,8,13.44,869,1260
171,10,5,8,36.26,474,840
177,2,4,5,9,632,1080
184,10,2,9,29.68,375,840
195,13,10,2,29.82,872,1260
200,12,4,7,21.93,688,1080
202,3,4,5,27.47,497,840
233,3,10,9,15.94,680,1080
246,2,5,5,41.39,1009,1260
251,13,8,6,38.57,894,1260
263,9,8,9,41.57,1025,1260
268,12,2,6,31.64,872,1260
278,4,3,8,23.91,738,1080
306,11,8,8,35.97,525,840
309,10,1,2,27.45,746,1080
316,7,3,7,18.2,658,1080
319,3,7,4,5.11,488,840
321,15,1,8,32.71,1032,1260
324,12,5,10,33.22,731,1080
331,2,9,8,31.14,1050,1260
333,7,4,5,10.38,777,1080
346,12,9,7,9.32,625,1080
366,12,5,2,5.48,717,1080
401,15,7,4,12.23,1078,1260
403,2,5,5,36.81,547,840
404,14,3,10,35.21,685,1080
412,8,9,5,19.34,865,1260
438,13,2,4,22.12,554,840
441,13,6,4,29.27,367,840
453,10,8,10,5.9,729,1080
477,8,4,6,27.31,478,840
479,6,3,2,35.55,1062,1260
498,14,2,9,38.95,538,840
505,15,8,6,41.26,995,1260
517,3,5,8,6.16,1008,1260
546,15,2,5,19.2,674,1080
562,1,8,5,31.04,377,840
563,9,4,7,27.77,690,1080
565,9,3,10,29.67,385,840
591,7,1,2,10.65,781,1080
592,11,3,6,21.5,1052,1260
594,9,6,6,10.86,508,840
604,11,1,10,25.1,677,1080
614,4,6,6,22.15,936,1260
622,9,8,3,8.45,813,1080
630,12,2,6,12.05,549,840
633,8,5,5,33.54,544,840
639,2,7,10,26.69,972,1260
645,14,7,7,4.13,879,1260
661,11,1,6,20.72,992,1260
668,14,10,9,6.5,991,1260
683,8,9,10,22.49,903,1260
689,14,5,7,9.05,646,1080
695,3,1,9,25.17,1011,1260
701,15,5,9,8.2,898,1260
717,2,1,5,41.02,560,840
742,5,6,7,9.06,464,840
744,13,1,2,8.72,969,1260
752,1,5,7,40.2,401,840
753,12,3,6,33.07,589,840
765,4,3,6,26.23,854,1260
781,10,1,3,15.58,715,1080
796,9,7,8,33.86,846,1260
803,15,1,2,33.51,734,1080
815,2,10,9,17.62,975,1260
818,13,3,1,42.2,1062,1260
831,1,3,6,33.4,778,1080
851,5,3,4,9.42,945,1260
855,15,4,8,31.75,1025,1260
856,5,7,5,20.67,1076,1260
876,3,6,6,5.45,774,1080
891,13,2,1,34.69,533,840
915,4,1,5,40.5,714,1080
925,5,8,10,39.16,641,1080
934,10,9,4,25.2,958,1260
961,14,2,5,9.37,876,1260
966,5,3,4,21.14,589,840
997,12,4,5,25.16,580,840
