k,o_k,d_k,w_k,q_k,e_k,l_k
19,10,3,2,9.31,985,1260
20,7,10,7,25.78,994,1260
92,1,5,10,36.96,512,840
142,4,7,10,21.99,474,840
147,2,10,7,27.5,392,840
165,5,4,7,31.02,1018,1260
183,5,8,2,20.77,465,840
194,9,3,4,4.14,569,840
335,6,2,3,29.35,625,1080
355,3,10,2,13.04,540,840
393,9,1,9,31.34,649,1080
396,6,5,7,9.92,636,1080
432,6,4,9,4.91,998,1260
505,5,8,6,18.05,995,1260
526,5,6,10,4.05,755,1080
555,9,3,8,9.38,787,1080
612,8,2,4,24.08,1040,1260
738,5,3,9,19.19,974,1260
905,10,2,10,30.27,556,840
921,4,3,10,30.36,536,840
944,2,9,8,7.12,415,840
1086,5,3,1,11.74,932,1260
1134,6,5,8,26.09,901,1260
1140,3,9,10,19.13,671,1080
1148,3,9,10,17.33,366,840
1199,3,6,10,24.73,385,840
1363,2,7,2,8.19,931,1260
1364,9,3,6,8.08,664,1080
1373,7,9,7,16.01,928,1260
1375,8,6,3,12.98,564,840
1405,7,2,10,18.61,896,1260
1477,9,6,3,22.32,741,1080
1507,2,3,10,12.57,425,840
1535,2,3,3,6.32,597,840
1691,5,3,10,12.04,593,840
1821,6,7,4,27.6,731,1080
1827,9,5,3,6.79,583,840
1906,4,1,4,30.97,660,1080
1908,3,8,1,34.79,632,1080
1951,9,3,6,26.49,424,840
2060,2,3,7,35.38,604,1080
2170,3,1,10,34.39,1032,1260
2225,8,6,2,8.78,1041,1260
2295,9,8,1,27.29,834,1080
2296,7,8,3,13.36,458,840
2328,1,4,4,15.86,996,1260
2334,1,10,9,15.08,468,840
2338,6,8,6,34.86,950,1260
2371,4,10,9,10.15,874,1260
2397,7,6,2,18.21,1058,1260
2409,8,4,9,7.95,519,840
2464,1,10,6,7.46,1005,1260
2527,10,9,4,33.53,806,1080
2551,2,7,5,17.4,812,1080
2581,8,5,10,24.42,1007,1260
2621,8,4,1,30.66,488,840
2624,2,1,9,29,489,840
2632,1,6,6,6.34,471,840
2643,5,7,7,18.24,492,840
2665,7,8,9,28.31,768,1080
2679,8,10,3,35.38,459,840
2715,1,5,8,24.35,560,840
2731,3,5,8,5.52,526,840
2767,8,4,10,27.01,934,1260
2773,8,1,9,26.74,896,1260
2801,4,6,8,33.88,741,1080
2815,1,5,8,32.18,605,1080
2883,7,6,10,34.42,549,840
2890,9,7,7,35.19,850,1260
2906,9,10,3,9.09,764,1080
2921,8,1,4,12.68,754,1080
2925,4,8,5,29.25,930,1260
2955,3,6,7,12.58,922,1260
2959,8,1,6,27.36,590,840
3000,9,8,3,22.88,361,840
3006,7,1,8,23.32,532,840
3014,8,6,5,21.83,833,1080
3036,2,9,9,25.79,926,1260
3063,5,4,10,5.26,600,1080
3079,4,1,8,26.81,598,840
3205,9,1,2,15.29,479,840
3247,5,9,4,14.74,834,1080
3258,5,2,4,6.34,634,1080
3262,6,5,5,10.07,990,1260
3305,5,3,7,7.89,704,1080
3349,1,10,1,8,582,840
3376,10,9,7,22.81,729,1080
3455,5,4,7,30.61,422,840
3470,7,9,5,37.21,978,1260
3523,1,9,1,5.15,773,1080
3637,5,3,5,29.77,828,1080
3649,9,10,10,18.18,678,1080
3666,8,2,10,6.75,943,1260
3690,4,6,10,35.76,558,840
3758,9,5,7,28.38,395,840
3759,10,3,4,16.83,742,1080
3775,8,3,4,5.48,596,840
3840,8,6,8,6.48,759,1080
3843,3,1,6,12.72,924,1260
3920,1,5,10,15.62,789,1080
3945,2,9,4,34.09,646,1080
4012,8,10,8,7.31,752,1080
4125,8,5,5,9.29,910,1260
4152,6,2,10,8.46,484,840
4290,8,2,7,8.43,569,840
4343,3,1,3,26.57,743,1080
4398,9,5,5,27.59,737,1080
4407,3,10,10,27.08,446,840
4521,10,7,4,17.17,657,1080
4611,7,10,10,21.76,772,1080
4644,5,7,1,9.55,1079,1260
4677,9,7,9,28.87,437,840
4714,10,5,6,9.89,650,1080
4795,9,8,7,29.44,826,1080
4807,6,4,2,31.22,932,1260
4837,2,8,8,32.48,601,1080
4860,7,5,5,4.77,944,1260
4865,5,7,3,12.81,1071,1260
4904,2,8,8,6.85,975,1260
4918,4,2,8,23.5,630,1080
4935,10,4,9,24.04,424,840
4966,1,4,8,30.86,934,1260
4970,7,9,3,16.26,440,840
5007,4,8,8,23.69,717,1080
5054,7,1,10,27.65,1039,1260
5089,1,10,9,17.64,366,840
5094,8,5,10,9.94,536,840
5142,1,9,7,12.15,915,1260
5239,6,4,4,20.37,783,1080
5284,3,10,5,11.98,606,1080
5286,5,1,6,24.97,699,1080
5328,4,9,1,9.02,1032,1260
5357,7,6,2,11.41,368,840
5422,8,3,2,31.95,895,1260
5573,2,4,2,14.5,1077,1260
5670,2,6,3,24.45,959,1260
5773,8,6,7,13.52,513,840
5780,2,4,2,7.9,655,1080
5859,4,2,10,18.68,789,1080
5860,8,7,3,27.36,951,1260
5874,2,4,9,19.04,408,840
5891,8,5,4,4.77,837,1080
5937,10,7,8,30.51,883,1260
5945,5,8,2,30.67,984,1260
5964,1,7,10,11.16,896,1260
6008,8,10,1,37.54,785,1080
6031,9,6,1,24.46,390,840
6176,10,9,1,21.05,604,1080
6182,7,4,4,11.53,428,840
6206,9,6,5,21.06,912,1260
6217,9,4,10,29.28,1065,1260
6238,6,10,4,27.95,1014,1260
6256,10,2,2,5.84,895,1260
6313,4,3,5,37.42,715,1080
6333,9,1,7,23.19,913,1260
6356,3,1,6,11.33,814,1080
6398,1,2,6,29.38,554,840
6464,7,2,6,27.13,603,1080
6469,8,6,3,15.84,451,840
6572,2,5,2,14.8,883,1260
6647,2,3,7,9.16,407,840
6759,8,2,5,33.36,781,1080
6772,9,6,9,17.37,583,840
6775,2,10,4,9.64,526,840
6807,4,5,1,34.35,995,1260
6820,5,3,7,15.16,741,1080
6832,9,10,2,24.39,622,1080
6833,1,2,5,12.69,602,1080
6877,1,10,6,27.61,580,840
6969,1,8,8,8.71,966,1260
7112,10,2,1,4.12,456,840
7264,8,5,9,15.82,660,1080
7270,4,6,4,15.94,921,1260
7294,9,1,4,20.42,862,1260
7302,6,5,7,19.73,805,1080
7310,8,5,4,13.35,1037,1260
7390,7,5,10,24.29,687,1080
7427,9,7,5,21.25,932,1260
7434,2,4,4,16.45,486,840
7435,3,5,10,10.8,495,840
7488,7,3,9,33.51,486,840
7497,9,7,10,34.56,789,1080
7506,9,7,9,10.43,395,840
7528,7,4,1,7.38,1015,1260
7539,10,3,7,32.72,675,1080
7572,6,7,2,28.65,780,1080
7595,9,3,2,24.15,553,840
7625,2,7,6,19.08,544,840
7633,3,10,8,32.5,413,840
7738,10,5,5,31.94,608,1080
7781,1,8,4,8.73,685,1080
7785,4,10,7,33.56,465,840
7791,10,7,2,36.59,398,840
7799,4,10,1,12.8,531,840
7892,6,10,5,20.37,652,1080
7898,4,1,10,32.25,658,1080
7928,10,4,3,22.77,423,840
7979,4,6,9,9.93,457,840
8048,2,10,7,15.82,800,1080
8114,9,3,7,8.1,1005,1260
8181,3,8,10,9.48,437,840
8203,6,10,6,30.24,446,840
8208,6,8,3,25.34,930,1260
8231,6,2,2,7.11,396,840
8235,4,6,8,7.76,854,1260
8316,10,1,8,6.32,664,1080
8330,3,7,9,13.48,853,1260
8474,7,10,8,26.2,780,1080
8476,10,8,7,27.06,943,1260
8482,4,6,4,14.27,738,1080
8512,10,2,6,13.98,764,1080
8539,3,6,7,8.45,1014,1260
8552,9,7,4,8.88,886,1260
8567,3,8,5,25.69,605,1080
8611,10,2,10,32.71,542,840
8694,4,7,8,9.85,396,840
8739,4,6,10,17.67,469,840
8753,8,6,9,26.75,382,840
8764,10,5,9,36.51,395,840
8780,7,10,6,33.81,1057,1260
8804,9,6,3,6.04,943,1260
8813,10,1,8,29.51,524,840
