k,o_k,d_k,w_k,q_k,e_k,l_k
25,12,8,3,5.4,1071,1260
29,14,9,3,8.6,405,840
43,2,13,5,10.2,543,840
66,9,1,1,6.8,863,1260
73,19,10,1,4.7,918,1260
78,3,10,6,21.3,510,840
107,10,14,3,16.7,744,1080
133,14,1,4,17.3,493,840
154,7,4,9,16,576,840
179,15,19,6,19.3,653,1080
202,19,13,5,9.9,497,840
235,13,20,7,12.8,852,1260
253,13,4,4,22.5,891,1260
303,17,16,1,4.2,675,1080
307,5,8,3,2.9,1023,1260
317,12,4,5,20,713,1080
343,16,13,8,13.1,949,1260
344,6,4,5,20.1,700,1080
348,13,12,3,11.9,897,1260
353,15,17,3,11.7,530,840
434,2,7,5,7.4,762,1080
436,16,11,6,6,859,1260
515,18,13,5,19,894,1260
557,10,14,6,7.6,716,1080
572,2,14,2,21.6,964,1260
583,9,5,8,2.6,931,1260
630,15,7,6,16.8,549,840
650,5,10,2,22.1,472,840
667,18,20,7,11.4,408,840
695,18,17,9,26,1011,1260
728,18,7,6,1.6,689,1080
733,19,9,5,4.2,387,840
735,2,7,10,10.3,974,1260
747,6,8,3,9,960,1260
752,12,20,7,5.7,401,840
760,12,6,5,6.4,1003,1260
794,2,17,4,25.1,718,1080
814,11,15,7,13.6,900,1260
820,5,1,4,3.5,769,1080
874,13,2,7,5.4,676,1080
903,20,17,6,17.3,1068,1260
920,11,19,2,15.7,543,840
941,9,7,8,18.7,542,840
949,17,13,8,2.8,1041,1260
956,13,3,7,11.5,390,840
1008,16,17,8,13.3,987,1260
1015,1,5,3,21.4,682,1080
1055,12,5,6,18.2,776,1080
1067,18,8,8,9,917,1260
1070,6,20,5,7.4,1061,1260
1105,8,2,1,5.6,903,1260
1197,7,8,4,20.9,689,1080
1210,16,5,1,3,517,840
1234,6,17,9,5.8,1019,1260
1248,9,7,3,24.4,658,1080
1344,11,7,3,11.4,491,840
1362,3,14,8,10.8,1012,1260
1366,18,6,7,2.2,906,1260
1405,15,11,10,16.4,896,1260
1406,2,9,5,5.3,735,1080
1421,20,3,8,12.7,866,1260
1431,11,12,1,2.7,946,1260
1454,20,19,8,1.5,872,1260
1476,9,16,1,6,750,1080
1516,5,7,1,6.4,412,840
1535,18,17,3,6.3,597,840
1598,5,1,5,19.2,1015,1260
1621,13,18,3,4.2,653,1080
1644,1,11,9,18.3,716,1080
1677,1,18,1,15.2,386,840
1685,19,2,8,4.8,1001,1260
1700,11,2,3,1.1,1022,1260
1703,10,6,2,4.9,1042,1260
1723,9,11,1,9.9,528,840
1752,8,15,4,7,778,1080
1754,4,11,1,3.6,559,840
1763,5,1,2,24.4,880,1260
1834,1,8,3,2.5,633,1080
1855,18,17,8,17.4,1080,1260
1864,5,14,9,15.5,864,1260
1895,6,9,5,19.2,545,840
1920,15,3,4,9.5,510,840
1938,12,6,8,3.3,666,1080
1951,8,7,6,6,424,840
1952,2,15,9,1.4,623,1080
1965,17,9,8,3.2,491,840
2052,17,18,4,22,439,840
2096,3,7,3,22.4,656,1080
2097,8,17,3,19.3,596,840
2123,13,9,6,14.3,1020,1260
2127,9,15,3,13.9,677,1080
2139,3,9,3,22.8,476,840
2142,13,19,6,4.2,868,1260
2190,13,20,10,23.6,1053,1260
2242,17,6,10,6.2,665,1080
2248,8,18,1,12.9,471,840
2249,3,7,9,22.7,1052,1260
2256,7,6,8,8.9,417,840
2287,6,2,5,15.6,771,1080
2302,1,9,3,9.6,739,1080
2312,19,16,10,6.1,469,840
2316,20,13,6,21.7,717,1080
2342,7,11,2,20.2,870,1260
2343,15,17,4,20.9,1062,1260
2354,8,16,1,22.8,678,1080
2391,12,5,7,6.8,799,1080
2419,1,2,5,18.7,893,1260
2422,8,19,7,12.7,1020,1260
2434,16,18,7,16.3,898,1260
2437,6,7,3,20.4,889,1260
2454,14,5,5,3.6,510,840
2478,13,7,4,22.7,858,1260
2482,13,17,4,11.7,736,1080
2571,3,15,6,11.9,655,1080
2583,7,19,7,4.3,504,840
2587,8,17,8,10.2,1045,1260
2609,10,13,2,6.3,556,840
2666,19,2,10,3.3,468,840
2721,15,16,10,9.4,1073,1260
2730,4,19,6,19.2,1038,1260
2798,1,13,7,12.9,660,1080
2821,7,5,8,21.6,374,840
2824,20,19,3,10.1,397,840
2854,10,4,7,18.6,482,840
2869,13,7,2,21.8,563,840
2895,1,13,10,25.8,394,840
2901,20,17,4,11.8,982,1260
