k,o_k,d_k,w_k,q_k,e_k,l_k
25,3,5,3,37.22,1071,1260
29,4,9,3,11.55,405,840
43,13,10,5,5.43,543,840
66,6,4,1,29.22,863,1260
73,15,8,1,7.41,918,1260
78,10,5,6,22.73,510,840
107,15,9,3,32.94,744,1080
133,3,5,4,19.55,493,840
154,9,3,9,24.4,576,840
179,1,2,6,10.23,653,1080
202,3,4,5,27.47,497,840
235,13,4,7,25.98,852,1260
253,2,5,4,5.57,891,1260
303,9,8,1,25.11,675,1080
307,6,9,3,8.64,1023,1260
317,14,9,5,9.68,713,1080
343,14,8,8,27.7,949,1260
344,1,8,5,38.77,700,1080
348,9,7,3,8.28,897,1260
353,8,5,3,9.27,530,840
434,1,4,5,28.57,762,1080
436,1,2,6,5.69,859,1260
515,5,4,5,25.97,894,1260
557,15,9,6,15.61,716,1080
572,1,2,2,15.54,964,1260
583,2,4,8,9.66,931,1260
630,12,2,6,12.05,549,840
650,12,7,2,26.71,472,840
667,3,10,7,26.06,408,840
695,3,1,9,25.17,1011,1260
728,1,3,6,36.11,689,1080
733,15,4,5,15.48,387,840
735,4,6,10,34.3,974,1260
747,14,4,3,29.4,960,1260
752,1,5,7,40.2,401,840
760,3,4,5,39.84,1003,1260
794,7,9,4,11.11,718,1080
814,14,1,7,16.36,900,1260
820,2,4,4,37.54,769,1080
874,14,3,7,7.98,676,1080
903,6,4,6,5.6,1068,1260
920,6,1,2,21.23,543,840
941,15,3,8,33,542,840
949,3,2,8,10.09,1041,1260
956,8,2,7,12.08,390,840
1008,9,6,8,8.97,987,1260
1015,12,8,3,37.01,682,1080
1055,8,4,6,40.24,776,1080
1067,2,10,8,36.85,917,1260
1070,11,7,5,11.29,1061,1260
1105,9,4,1,8.26,903,1260
1197,1,5,4,30.58,689,1080
1210,2,7,1,31.06,517,840
1234,4,7,9,39.93,1019,1260
1248,2,4,3,13.24,658,1080
1344,7,10,3,22.33,491,840
1362,9,5,8,8.73,1012,1260
1366,10,8,7,23.84,906,1260
1405,5,2,10,38.99,896,1260
1406,7,3,5,15.92,735,1080
1421,8,5,8,4.02,866,1260
1431,2,8,1,18.42,946,1260
1454,1,8,8,17.37,872,1260
1476,11,4,1,21.19,750,1080
1516,6,3,1,4.16,412,840
1535,7,3,3,23,597,840
1598,10,3,5,37.93,1015,1260
1621,8,10,3,41.9,653,1080
1644,6,7,9,41.75,716,1080
1677,9,1,1,12.99,386,840
1685,8,10,8,12.03,1001,1260
1700,14,10,3,15.29,1022,1260
1703,10,6,2,10.22,1042,1260
1723,15,1,1,5.32,528,840
1752,2,1,4,25.22,778,1080
1754,7,6,1,31.13,559,840
1763,6,10,2,19.91,880,1260
1834,4,8,3,29.07,633,1080
1855,9,1,8,38.92,1080,1260
1864,7,1,9,15.65,864,1260
1895,5,8,5,22.95,545,840
1920,8,5,4,12.54,510,840
1938,5,1,8,34.27,666,1080
1951,2,3,6,6.54,424,840
1952,7,9,9,38.76,623,1080
1965,3,5,8,8.5,491,840
2052,4,10,4,13.66,439,840
2096,3,1,3,38.28,656,1080
2097,3,7,3,17.07,596,840
2123,15,10,6,27.65,1020,1260
2127,7,6,3,42.48,677,1080
2139,8,2,3,8.95,476,840
2142,11,2,6,31.49,868,1260
2190,1,3,10,36.87,1053,1260
2242,12,4,10,31.26,665,1080
2248,15,3,1,22.66,471,840
2249,1,8,9,24.11,1052,1260
2256,3,4,8,7.58,417,840
2287,15,4,5,30.57,771,1080
2302,3,8,3,32.71,739,1080
2312,12,8,10,22.94,469,840
2316,13,10,6,18.88,717,1080
2342,12,8,2,30.45,870,1260
2343,4,3,4,25.3,1062,1260
2354,15,10,1,28.18,678,1080
2391,12,7,7,12.81,799,1080
2419,10,1,5,30.66,893,1260
2422,7,6,7,18.65,1020,1260
2434,12,7,7,10.78,898,1260
2437,1,10,3,4.59,889,1260
2454,9,7,5,32.38,510,840
2478,11,2,4,4,858,1260
2482,2,1,4,15.7,736,1080
2571,2,3,6,19.98,655,1080
2583,11,3,7,9.86,504,840
2587,14,4,8,26.36,1045,1260
2609,13,7,2,36.93,556,840
2666,8,1,10,28.65,468,840
2721,15,3,10,4.57,1073,1260
2730,15,5,6,37.04,1038,1260
2798,14,10,7,26.28,660,1080
2821,8,9,8,37.42,374,840
2824,15,2,3,39.23,397,840
2854,12,4,7,18.22,482,840
2869,15,10,2,13.52,563,840
2895,13,7,10,9.72,394,840
2901,10,3,4,34.6,982,1260
2922,12,7,4,40.29,473,840
2941,4,6,1,20.91,697,1080
2943,4,6,9,8.74,771,1080
2953,1,5,10,29.7,692,1080
2975,5,7,5,19.79,647,1080
2980,13,10,4,34.65,483,840
3001,4,6,6,26.69,1077,1260
3018,6,7,1,39.6,490,840
3081,3,8,1,9.6,1061,1260
3095,1,6,7,23.05,617,1080
3136,2,1,4,40.25,975,1260
3160,10,1,1,35.47,1008,1260
3169,7,2,7,29.97,782,1080
3170,2,7,3,35.89,939,1260
3171,15,9,9,26.51,606,1080
3205,5,1,2,9.84,479,840
3237,2,10,3,41.47,525,840
3288,4,8,5,38.09,521,840
3293,15,7,8,15.8,744,1080
3351,13,1,3,38.18,492,840
3365,6,1,4,31.79,920,1260
3372,4,9,3,6.13,812,1080
3394,4,6,6,39.31,645,1080
3413,15,7,4,19.08,410,840
3416,7,4,5,5.5,963,1260
3418,10,5,7,13.52,1057,1260
3436,2,5,1,18.9,514,840
3442,15,5,4,5.29,1060,1260
3453,1,9,4,13.82,639,1080
3456,5,4,9,13.23,501,840
3470,4,9,5,39.61,978,1260
3483,10,8,1,20.6,502,840
3492,10,4,10,31.97,383,840
3497,3,10,8,27.4,639,1080
3499,15,6,6,5.19,552,840
3506,7,9,9,29.53,962,1260
3528,9,5,5,31.64,1038,1260
3547,3,1,5,11.31,837,1080
3552,14,5,5,31.6,544,840
3562,14,3,2,32.08,698,1080
3564,3,2,4,21.96,374,840
3581,8,10,8,4.53,951,1260
3631,6,1,10,31.34,1011,1260
3749,6,7,6,30.15,1066,1260
3754,11,1,1,20.64,825,1080
3784,11,9,1,19.74,422,840
3785,13,4,8,30.06,1049,1260
3820,12,2,2,15.11,1066,1260
3824,13,6,6,21.79,940,1260
3836,14,4,2,19.83,849,1260
3852,9,1,7,6.98,549,840
3857,3,4,4,33.93,478,840
3867,6,8,4,29.94,961,1260
3896,13,7,1,28.54,695,1080
3907,5,2,7,13.23,373,840
3909,13,8,4,35.42,372,840
3940,10,5,4,4.26,888,1260
3961,10,4,10,37.6,725,1080
3972,1,2,5,21.55,628,1080
3987,10,5,10,42.26,1064,1260
4012,6,10,8,36.3,752,1080
4017,14,5,9,25.18,826,1080
4019,8,2,10,40.78,799,1080
4030,3,9,4,17.67,888,1260
