k,o_k,d_k,w_k,q_k,e_k,l_k
8,2,15,5,25.5,648,1080
49,9,2,4,22.6,942,1260
60,1,10,7,15.3,1022,1260
117,1,23,10,15.3,863,1260
148,4,5,6,22,620,1080
313,18,16,9,2.6,724,1080
465,18,6,2,19.7,536,840
533,3,5,3,9.2,913,1260
703,5,8,10,18.7,855,1260
731,11,24,9,7.3,538,840
767,11,1,8,4.9,922,1260
828,7,19,3,6.2,583,840
905,19,24,10,18.6,556,840
1069,12,19,9,21.3,830,1080
1072,3,2,10,9.4,570,840
1122,22,13,2,25.6,691,1080
1318,3,18,6,11.7,867,1260
1414,9,4,4,20.7,505,840
1566,2,12,2,1.8,559,840
1740,5,13,3,21.9,894,1260
1787,7,10,7,6.2,421,840
1860,3,1,9,25,1056,1260
1883,14,19,7,14.6,523,840
2359,9,2,4,10.8,762,1080
2377,10,6,7,21.7,804,1080
2421,7,20,1,10.6,1010,1260
2542,11,10,7,16.2,784,1080
2564,9,10,4,6.5,928,1260
2635,9,6,8,17.4,908,1260
2776,25,20,4,12.8,472,840
2925,3,25,5,17.5,930,1260
3024,3,21,1,21.7,747,1080
3032,10,3,3,1.1,780,1080
3174,13,14,4,7.9,1075,1260
3187,2,7,7,17.2,746,1080
3391,10,24,10,19.7,1031,1260
3589,6,9,3,21.1,835,1080
3659,21,19,8,17.1,619,1080
3713,1,4,5,20.7,999,1260
3749,25,4,6,14.8,1066,1260
3802,21,5,7,4.3,410,840
3808,11,21,8,10.4,684,1080
3896,25,17,1,22.6,695,1080
3904,8,15,3,23.6,891,1260
4085,16,10,5,4,440,840
4099,13,18,4,2.9,994,1260
4229,10,15,3,7.9,959,1260
4262,8,20,3,21,641,1080
4395,10,9,1,7.9,427,840
4405,21,6,5,9.7,603,1080
4597,2,7,3,6,614,1080
4803,21,10,9,24.6,662,1080
4812,11,18,8,3.3,784,1080
4817,24,3,6,2.5,412,840
4830,13,7,5,25.2,1000,1260
4894,6,17,1,6.1,447,840
5016,23,6,1,20.7,807,1080
5158,7,20,2,5.3,373,840
5235,15,8,6,21.7,705,1080
5237,3,14,7,12.9,490,840
5297,19,10,5,21.7,547,840
5458,19,3,9,11.2,1018,1260
5544,6,14,3,20.6,977,1260
5578,9,12,4,25.5,943,1260
5609,8,3,5,19.1,376,840
6039,24,23,10,22.9,660,1080
6051,11,24,9,7.7,825,1080
6415,14,21,1,19.2,576,840
6449,21,20,2,5.8,781,1080
6550,3,21,3,8,503,840
6580,16,15,9,25.3,653,1080
6726,19,7,2,22.8,731,1080
6738,18,17,3,2.4,638,1080
6857,12,25,9,3.3,500,840
6884,4,21,8,20.3,479,840
6921,5,13,8,5.8,920,1260
7034,21,9,1,6.4,583,840
7136,3,24,4,19.5,719,1080
7679,1,15,8,17.1,552,840
7720,18,16,1,23.7,1002,1260
8080,3,19,4,11.3,362,840
8164,24,5,9,8,618,1080
8209,4,16,9,6.2,872,1260
8290,10,24,4,5.4,380,840
8401,11,17,3,9.4,792,1080
8567,5,8,5,22.1,605,1080
8578,5,22,7,17.5,516,840
8607,23,10,1,10.9,1063,1260
8618,6,15,3,21.7,1001,1260
8697,21,7,3,25.5,744,1080
8896,3,14,10,4.2,708,1080
8897,13,22,10,23.1,574,840
9221,1,4,3,3.7,1002,1260
9236,11,7,9,4.6,965,1260
9251,25,8,5,5.5,800,1080
9258,11,9,2,21.2,454,840
9284,2,16,1,15.6,623,1080
9496,22,19,7,3.9,1074,1260
9571,6,2,5,9.9,1013,1260
9809,14,4,2,7.9,413,840
