k,o_k,d_k,w_k,q_k,e_k,l_k
8,2,4,5,17.09,648,1080
9,1,4,3,12.71,487,840
14,5,2,6,30.16,416,840
23,5,2,6,19.44,693,1080
24,3,4,8,11.17,1062,1260
26,3,5,1,28.01,560,840
27,4,1,10,27.9,686,1080
31,4,2,5,5.59,421,840
37,5,3,3,4.55,981,1260
53,3,5,6,26.12,988,1260
65,4,2,9,15.61,1044,1260
75,4,1,3,21.14,641,1080
82,2,5,10,28.49,518,840
93,4,2,5,19.07,648,1080
100,1,4,7,7,1043,1260
101,2,5,3,19.01,362,840
110,3,2,7,32.17,835,1080
119,5,3,3,5.04,864,1260
128,2,3,6,6.44,621,1080
133,5,1,4,19.67,493,840
146,3,4,6,22.05,1074,1260
147,4,3,7,11.6,392,840
150,4,5,4,26.57,984,1260
151,4,2,1,16.77,370,840
152,3,4,3,25.36,556,840
155,5,2,8,28.51,869,1260
171,1,2,8,28.24,474,840
177,2,1,5,13.36,632,1080
184,2,1,9,21.31,375,840
195,3,2,2,25.27,872,1260
200,3,2,7,15.82,688,1080
202,5,2,5,4.33,497,840
233,3,4,9,27.48,680,1080
246,1,2,5,14.85,1009,1260
251,3,5,6,5.29,894,1260
263,1,5,9,15.49,1025,1260
268,2,4,6,8.99,872,1260
278,5,4,8,20.14,738,1080
306,2,4,8,20.15,525,840
309,2,3,2,5.06,746,1080
316,1,2,7,14.67,658,1080
319,4,2,4,13.23,488,840
321,1,3,8,31.74,1032,1260
324,3,4,10,24.18,731,1080
331,1,4,8,27.74,1050,1260
333,4,3,5,31.38,777,1080
346,2,3,7,26.38,625,1080
366,4,5,2,6.91,717,1080
401,1,2,4,13.24,1078,1260
403,4,3,5,19.04,547,840
404,1,4,10,32.04,685,1080
412,4,3,5,10.42,865,1260
438,3,5,4,24.49,554,840
441,4,2,4,14.71,367,840
453,5,3,10,28.16,729,1080
477,4,1,6,16.41,478,840
479,1,5,2,7.88,1062,1260
498,2,3,9,11.29,538,840
505,3,4,6,12.4,995,1260
517,1,3,8,12.97,1008,1260
546,1,2,5,5,674,1080
562,4,5,5,19.62,377,840
563,4,3,7,17.93,690,1080
565,4,1,10,22.33,385,840
591,5,1,2,7.22,781,1080
592,3,4,6,25.86,1052,1260
594,3,5,6,21.63,508,840
604,2,1,10,10.23,677,1080
614,5,4,6,20.58,936,1260
622,5,2,3,8.47,813,1080
630,5,2,6,32.16,549,840
633,4,5,5,15.74,544,840
639,2,1,10,23.69,972,1260
645,4,3,7,25.83,879,1260
661,1,5,6,11.6,992,1260
668,3,5,9,29.96,991,1260
683,3,5,10,30.21,903,1260
689,4,1,7,26.27,646,1080
695,2,4,9,22.92,1011,1260
701,1,2,9,12.61,898,1260
717,1,5,5,15.72,560,840
742,3,2,7,6.75,464,840
744,4,5,2,20.67,969,1260
752,3,1,7,9.14,401,840
753,4,5,6,10.63,589,840
765,1,5,6,6.96,854,1260
781,5,4,3,25.28,715,1080
796,5,4,8,26.5,846,1260
803,2,5,2,14.89,734,1080
815,1,4,9,5.76,975,1260
818,4,1,1,7.79,1062,1260
831,4,3,6,18.91,778,1080
851,5,3,4,13.49,945,1260
855,3,5,8,17.81,1025,1260
856,1,5,5,12.43,1076,1260
876,2,5,6,27.98,774,1080
891,3,1,1,26.33,533,840
915,4,5,5,23.49,714,1080
925,2,3,10,26.36,641,1080
934,2,5,4,6.18,958,1260
961,4,2,5,5.16,876,1260
966,4,1,4,8.85,589,840
997,1,3,5,14.44,580,840
1016,3,5,9,26.42,788,1080
1036,2,4,8,27.72,984,1260
1043,2,4,4,24.35,720,1080
1053,1,3,3,9.05,569,840
1063,4,3,1,31.54,895,1260
1082,4,3,10,5.92,943,1260
1098,3,5,10,14.23,684,1080
1128,2,4,2,20.23,810,1080
1144,2,4,4,6.41,427,840
1148,4,1,10,14.41,366,840
1151,5,3,10,4.21,822,1080
1159,5,1,4,23.54,681,1080
1165,4,1,8,20.92,948,1260
1175,5,2,8,32.06,885,1260
1182,3,2,4,23.34,376,840
1187,4,1,5,6.58,556,840
1198,3,1,5,10.51,646,1080
1200,2,5,2,17.8,909,1260
1205,1,2,5,29.08,620,1080
1224,5,4,6,25.46,964,1260
1274,2,5,6,19.79,500,840
1281,5,2,1,29.2,562,840
1303,4,5,2,26.78,540,840
1308,1,3,9,26,412,840
1322,2,5,5,28.09,577,840
1328,2,1,4,27.17,977,1260
1354,2,1,10,30.9,451,840
1394,2,1,2,17.55,787,1080
1399,2,1,2,30.54,739,1080
1403,1,2,7,30.21,1080,1260
1406,1,2,5,19.81,735,1080
1417,5,1,2,32.23,415,840
1428,2,5,6,11.99,428,840
1429,3,1,6,12.05,557,840
1446,2,1,4,11.91,646,1080
1483,4,1,2,24.65,726,1080
1484,1,4,9,7.84,866,1260
1505,5,3,9,28.59,719,1080
1517,5,2,4,27.72,416,840
1520,5,4,10,14.56,1075,1260
1522,4,2,9,14.38,898,1260
1536,1,2,4,23.06,474,840
1538,1,2,6,20.86,479,840
1541,4,3,1,15.75,572,840
1548,1,4,7,14.1,993,1260
1558,5,3,10,17.92,378,840
1564,3,4,5,14.54,900,1260
1579,1,5,3,27.73,881,1260
1582,2,4,6,28.33,438,840
1589,4,1,10,25.29,441,840
1598,3,4,5,16.21,1015,1260
1616,2,3,3,22.86,619,1080
1623,5,2,7,5.39,948,1260
1641,1,2,6,20.98,913,1260
1647,4,5,9,9.86,1040,1260
1651,5,3,4,15.46,985,1260
1667,4,1,4,6.6,787,1080
1675,1,3,3,22.35,658,1080
1681,2,1,2,23.69,946,1260
1685,2,3,8,19.76,1001,1260
1709,3,5,9,26.46,898,1260
1727,5,2,9,25.88,629,1080
1729,3,1,6,16.61,667,1080
1737,4,5,4,19.49,486,840
1749,1,3,3,8.08,467,840
1750,3,4,10,23.3,648,1080
1752,2,3,4,19.29,778,1080
1755,4,2,7,15.98,717,1080
1756,3,5,1,22.95,778,1080
1757,5,2,6,6.9,633,1080
1762,5,4,2,30.97,862,1260
1765,4,1,1,30.42,720,1080
1767,2,5,9,13.01,436,840
1774,1,4,7,28.95,582,840
1793,1,4,2,24.78,759,1080
1800,2,1,3,6.88,788,1080
1807,4,3,10,30.42,497,840
1811,4,1,9,19.29,646,1080
1813,4,3,4,23.74,976,1260
1814,2,3,3,11.03,1021,1260
1834,5,1,3,8.81,633,1080
1842,3,2,9,6.55,808,1080
1852,2,4,6,20.84,462,840
1870,3,5,10,25,857,1260
1874,2,3,7,24.97,920,1260
1894,5,4,1,23.71,776,1080
1898,4,5,8,22.55,891,1260
1902,1,2,8,19.82,815,1080
1924,5,2,7,16.38,1027,1260
1934,3,1,6,26.28,624,1080
1944,4,3,4,25.6,837,1080
1961,4,1,10,11.72,626,1080
1962,2,3,9,28.1,904,1260
1970,3,5,4,21.16,899,1260
1971,3,5,5,22.31,646,1080
1978,3,5,9,11.31,964,1260
2003,5,3,5,21.43,739,1080
2007,3,1,8,26,812,1080
2020,5,4,8,10.8,395,840
2032,4,5,3,9.89,800,1080
