k,o_k,d_k,w_k,q_k,e_k,l_k
19,6,3,2,33.61,985,1260
20,8,10,7,19.43,994,1260
92,15,5,10,14.74,512,840
142,12,7,10,15.03,474,840
147,3,10,7,10.12,392,840
165,12,4,7,26.36,1018,1260
183,10,8,2,29.17,465,840
194,4,3,4,42.41,569,840
335,13,2,3,35.81,625,1080
355,12,10,2,37.19,540,840
393,8,1,9,25.8,649,1080
396,4,5,7,42.51,636,1080
432,15,4,9,24.4,998,1260
505,15,8,6,41.26,995,1260
526,3,6,10,39.95,755,1080
555,2,3,8,17.36,787,1080
612,15,2,4,5.86,1040,1260
738,15,3,9,19.49,974,1260
905,7,2,10,7.47,556,840
921,7,3,10,24.53,536,840
944,14,9,8,39.45,415,840
1086,14,3,1,23.03,932,1260
1134,7,5,8,17.03,901,1260
1140,4,9,10,4.04,671,1080
1148,2,9,10,4.28,366,840
1199,13,6,10,28.69,385,840
1363,6,7,2,30.18,931,1260
1364,7,3,6,29.36,664,1080
1373,11,9,7,19.54,928,1260
1375,7,6,3,22.59,564,840
1405,5,2,10,38.99,896,1260
1477,11,6,3,35.08,741,1080
1507,10,3,10,42.59,425,840
1535,7,3,3,23,597,840
1691,8,3,10,4.44,593,840
1821,1,7,4,41.73,731,1080
1827,1,5,3,37.32,583,840
1906,9,1,4,5.74,660,1080
1908,4,8,1,36.53,632,1080
1951,2,3,6,6.54,424,840
2060,8,3,7,39.71,604,1080
2170,6,1,10,34.42,1032,1260
2225,10,6,2,33.06,1041,1260
2295,13,8,1,39.03,834,1080
2296,5,8,3,26.19,458,840
2328,7,4,4,7.55,996,1260
2334,2,10,9,36.12,468,840
2338,14,8,6,7.04,950,1260
2371,4,10,9,27,874,1260
2397,2,6,2,33,1058,1260
2409,10,4,9,26.52,519,840
2464,12,10,6,21.26,1005,1260
2527,12,9,4,9.6,806,1080
2551,12,7,5,15.42,812,1080
2581,2,5,10,5.68,1007,1260
2621,10,4,1,9,488,840
2624,3,1,9,10.54,489,840
2632,9,6,6,4.68,471,840
2643,6,7,7,38.07,492,840
2665,1,8,9,38.15,768,1080
2679,12,10,3,28.61,459,840
2715,10,5,8,34.58,560,840
2731,6,5,8,38.04,526,840
2767,2,4,10,33.4,934,1260
2773,3,1,9,26.94,896,1260
2801,12,6,8,4.33,741,1080
2815,11,5,8,32.66,605,1080
2883,15,6,10,19.55,549,840
2890,4,7,7,17.34,850,1260
2906,14,10,3,32.18,764,1080
2921,2,1,4,41.45,754,1080
2925,10,8,5,4.68,930,1260
2955,3,6,7,20.94,922,1260
2959,7,1,6,37.06,590,840
3000,6,8,3,31.42,361,840
3006,7,1,8,16.7,532,840
3014,15,6,5,5.76,833,1080
3036,12,9,9,33.2,926,1260
3063,6,4,10,10.18,600,1080
3079,9,1,8,18.91,598,840
3205,5,1,2,9.84,479,840
3247,6,9,4,12.32,834,1080
3258,15,2,4,32.31,634,1080
3262,10,5,5,12.32,990,1260
3305,4,3,7,13.36,704,1080
3349,1,10,1,12.45,582,840
3376,15,9,7,41.9,729,1080
3455,5,4,7,34.21,422,840
3470,4,9,5,39.61,978,1260
3523,6,9,1,27.3,773,1080
3637,4,3,5,9.84,828,1080
3649,6,10,10,11.64,678,1080
3666,9,2,10,19.51,943,1260
3690,14,6,10,37.09,558,840
3758,6,5,7,9.21,395,840
3759,15,3,4,30.43,742,1080
3775,11,3,4,24.35,596,840
3840,5,6,8,36.01,759,1080
3843,14,1,6,25.05,924,1260
3920,10,5,10,29.71,789,1080
3945,3,9,4,31.38,646,1080
4012,6,10,8,36.3,752,1080
4125,12,5,5,5.9,910,1260
4152,7,2,10,26.88,484,840
4290,11,2,7,17.17,569,840
4343,2,1,3,14.07,743,1080
4398,9,5,5,13.43,737,1080
4407,15,10,10,8.36,446,840
4521,8,7,4,38.9,657,1080
4611,1,10,10,39.65,772,1080
4644,11,7,1,12.74,1079,1260
4677,6,7,9,9.85,437,840
4714,8,5,6,22.08,650,1080
4795,13,8,7,32.87,826,1080
4807,14,4,2,12.38,932,1260
4837,10,8,8,40.57,601,1080
4860,12,5,5,21.15,944,1260
4865,15,7,3,21.88,1071,1260
4904,2,8,8,19.78,975,1260
4918,6,2,8,9.9,630,1080
4935,6,4,9,25.58,424,840
4966,5,4,8,6.25,934,1260
4970,15,9,3,8.09,440,840
5007,11,8,8,14.79,717,1080
5054,7,1,10,35.84,1039,1260
5089,12,10,9,26.89,366,840
5094,3,5,10,41.48,536,840
5142,3,9,7,17.71,915,1260
5239,10,4,4,7.46,783,1080
5284,6,10,5,12.98,606,1080
5286,9,1,6,20.28,699,1080
5328,4,9,1,9.88,1032,1260
5357,15,6,2,37.66,368,840
5422,9,3,2,16.37,895,1260
5573,8,4,2,5.9,1077,1260
5670,7,6,3,15.88,959,1260
5773,13,6,7,21.8,513,840
5780,9,4,2,17.63,655,1080
5859,3,2,10,25.17,789,1080
5860,5,7,3,24.77,951,1260
5874,8,4,9,26.32,408,840
5891,8,5,4,19.6,837,1080
5937,11,7,8,33.72,883,1260
5945,12,8,2,32.41,984,1260
5964,4,7,10,35.76,896,1260
6008,9,10,1,36.73,785,1080
6031,11,6,1,17.87,390,840
6176,4,9,1,41.94,604,1080
6182,8,4,4,33.5,428,840
6206,9,6,5,7.76,912,1260
6217,9,4,10,18.73,1065,1260
6238,8,10,4,19.31,1014,1260
6256,13,2,2,37.25,895,1260
6313,2,3,5,15.55,715,1080
6333,12,1,7,42.07,913,1260
6356,14,1,6,37.73,814,1080
6398,3,2,6,35.27,554,840
6464,12,2,6,9.99,603,1080
6469,11,6,3,16.35,451,840
6572,2,5,2,20.17,883,1260
6647,6,3,7,30.5,407,840
6759,9,2,5,25,781,1080
6772,3,6,9,8.03,583,840
6775,11,10,4,25.81,526,840
6807,3,5,1,30.12,995,1260
6820,12,3,7,19.56,741,1080
6832,11,10,2,9.57,622,1080
6833,12,2,5,42.33,602,1080
6877,7,10,6,29.2,580,840
6969,14,8,8,42.53,966,1260
7112,11,2,1,33.36,456,840
7264,8,5,9,27.9,660,1080
7270,9,6,4,9.94,921,1260
7294,3,1,4,33.17,862,1260
7302,15,5,7,7.35,805,1080
7310,7,5,4,13.83,1037,1260
7390,7,5,10,9.95,687,1080
7427,5,7,5,14.6,932,1260
7434,14,4,4,12.49,486,840
7435,15,5,10,42.47,495,840
7488,14,3,9,37.84,486,840
7497,12,7,10,26.66,789,1080
7506,5,7,9,11.73,395,840
7528,11,4,1,30.17,1015,1260
7539,2,3,7,18.74,675,1080
7572,6,7,2,7.65,780,1080
7595,14,3,2,14.88,553,840
7625,3,7,6,32.07,544,840
7633,5,10,8,35.22,413,840
7738,8,5,5,34.27,608,1080
7781,4,8,4,16.58,685,1080
7785,7,10,7,40.34,465,840
7791,15,7,2,9.68,398,840
7799,11,10,1,7.86,531,840
7892,6,10,5,12.35,652,1080
7898,14,1,10,9.87,658,1080
7928,15,4,3,38.95,423,840
7979,12,6,9,11.44,457,840
8048,2,10,7,18.26,800,1080
8114,8,3,7,33.67,1005,1260
8181,15,8,10,28.04,437,840
8203,4,10,6,4.25,446,840
8208,3,8,3,40.21,930,1260
8231,4,2,2,4.9,396,840
8235,14,6,8,12.71,854,1260
8316,2,1,8,39.41,664,1080
8330,4,7,9,9.15,853,1260
8474,11,10,8,16.46,780,1080
8476,12,8,7,39.79,943,1260
8482,8,6,4,9.09,738,1080
8512,13,2,6,14.04,764,1080
8539,8,6,7,15.72,1014,1260
8552,1,7,4,35.67,886,1260
8567,1,8,5,39.76,605,1080
8611,8,2,10,11.13,542,840
8694,5,7,8,8.6,396,840
8739,2,6,10,11.93,469,840
8753,14,6,9,27.08,382,840
8764,7,5,9,25.82,395,840
8780,15,10,6,37.88,1057,1260
8804,15,6,3,29.68,943,1260
8813,11,1,8,17.94,524,840
8843,12,3,2,27.52,1024,1260
8859,5,2,7,28.66,666,1080
8903,15,5,9,32.4,927,1260
8960,9,1,8,22.37,481,840
9000,8,9,9,30.33,1031,1260
9023,5,1,5,5.57,1066,1260
9061,13,3,1,19.44,512,840
9084,14,3,9,12.29,1015,1260
9163,12,5,7,30.9,919,1260
9193,1,9,2,14.5,362,840
9440,2,9,6,10.49,765,1080
9454,15,5,1,27.35,762,1080
9462,8,4,2,16.87,363,840
9570,9,2,3,42.31,1014,1260
9597,11,9,1,11.14,579,840
9625,12,4,2,30.73,757,1080
9667,13,8,10,37.8,995,1260
9677,15,9,1,23.32,1000,1260
9701,2,4,1,23.49,459,840
9715,3,6,6,25.21,989,1260
9716,5,2,4,7.27,989,1260
9731,5,8,7,22.46,548,840
9772,5,8,8,18.01,699,1080
9896,13,6,2,15.42,484,840
9903,3,7,10,25.34,898,1260
9964,4,3,7,11.87,690,1080
9992,15,5,9,6.44,816,1080
9993,4,6,7,39.96,361,840
