k,o_k,d_k,w_k,q_k,e_k,l_k
8,2,15,5,25.5,648,1080
9,20,2,3,12,487,840
14,16,20,6,8.9,416,840
23,21,17,6,17.7,693,1080
24,2,1,8,9.1,1062,1260
26,14,19,1,13.2,560,840
27,4,9,10,17.2,686,1080
31,22,21,5,9.6,421,840
37,3,14,3,3.7,981,1260
53,18,5,6,18.4,988,1260
65,10,12,9,20.2,1044,1260
75,5,8,3,23.8,641,1080
82,11,14,10,5.4,518,840
93,8,6,5,14.4,648,1080
100,19,9,7,20,1043,1260
101,12,24,3,15.5,362,840
110,15,21,7,23.2,835,1080
119,13,24,3,14.8,864,1260
128,20,13,6,3,621,1080
133,8,18,4,17.3,493,840
146,1,22,6,3.5,1074,1260
147,4,19,7,19.1,392,840
150,14,18,4,16.5,984,1260
151,20,8,1,24.8,370,840
152,23,3,3,7,556,840
155,13,14,8,25.2,869,1260
171,10,25,8,12.8,474,840
177,23,17,5,11.6,632,1080
184,6,15,9,7.8,375,840
195,18,20,2,8.6,872,1260
200,6,14,7,15,688,1080
202,21,17,5,9.9,497,840
233,18,24,9,19.1,680,1080
246,12,21,5,23.1,1009,1260
251,20,1,6,16.7,894,1260
263,24,2,9,7.1,1025,1260
268,8,18,6,14.4,872,1260
278,20,1,8,4.6,738,1080
306,8,9,8,10.5,525,840
309,14,5,2,3.4,746,1080
316,8,18,7,23.4,658,1080
319,15,16,4,4.7,488,840
321,6,24,8,9.6,1032,1260
324,18,17,10,13.4,731,1080
331,17,18,8,25,1050,1260
333,17,21,5,7.5,777,1080
346,10,6,7,10.1,625,1080
366,14,13,2,1.7,717,1080
401,10,23,4,13.2,1078,1260
403,16,25,5,15.9,547,840
404,13,1,10,19.7,685,1080
412,1,18,5,10,865,1260
438,3,19,4,13.6,554,840
441,20,23,4,7.6,367,840
453,22,18,10,23.5,729,1080
477,7,8,6,17.1,478,840
479,15,22,2,24.4,1062,1260
498,16,24,9,14.4,538,840
505,23,1,6,8,995,1260
517,25,6,8,8.5,1008,1260
546,1,12,5,20.8,674,1080
562,12,25,5,20,377,840
563,6,4,7,24.4,690,1080
565,20,25,10,19,385,840
591,16,8,2,25.5,781,1080
592,21,14,6,2.4,1052,1260
594,2,4,6,14.9,508,840
604,17,12,10,14.4,677,1080
614,7,24,6,6,936,1260
622,24,2,3,9.9,813,1080
630,3,24,6,16.8,549,840
633,25,24,5,7.5,544,840
639,14,7,10,18.1,972,1260
645,23,12,7,10.3,879,1260
661,23,7,6,14,992,1260
668,25,15,9,24.7,991,1260
683,13,23,10,18.1,903,1260
689,6,12,7,18.3,646,1080
695,23,22,9,26,1011,1260
701,7,21,9,12.6,898,1260
717,22,20,5,24.3,560,840
742,7,12,7,13.1,464,840
744,8,4,2,23.9,969,1260
752,6,17,7,5.7,401,840
753,23,14,6,21,589,840
765,13,14,6,7.8,854,1260
781,1,17,3,22.2,715,1080
796,2,24,8,21.1,846,1260
803,23,2,2,24.8,734,1080
815,4,22,9,5.4,975,1260
818,12,23,1,20.9,1062,1260
831,19,12,6,25.4,778,1080
851,1,17,4,13.5,945,1260
855,24,12,8,7.8,1025,1260
856,1,16,5,5.7,1076,1260
876,13,25,6,6,774,1080
891,8,16,1,20.7,533,840
915,18,1,5,12.8,714,1080
925,1,25,10,20.5,641,1080
934,19,13,4,2.4,958,1260
961,15,4,5,1.8,876,1260
966,4,9,4,7.7,589,840
997,1,21,5,13.4,580,840
1016,22,5,9,16.7,788,1080
1036,13,22,8,2.6,984,1260
1043,13,19,4,5.3,720,1080
1053,2,14,3,13,569,840
1063,9,4,1,11.4,895,1260
1082,1,6,10,24.8,943,1260
1098,25,13,10,10.8,684,1080
1128,14,25,2,22.4,810,1080
1144,10,3,4,17.1,427,840
1148,21,18,10,16.6,366,840
1151,12,4,10,2.1,822,1080
1159,25,22,4,1.1,681,1080
1165,12,11,8,5.6,948,1260
1175,18,12,8,16.1,885,1260
1182,4,10,4,11.8,376,840
1187,22,25,5,23.6,556,840
1198,14,19,5,21.4,646,1080
1200,13,21,2,6.6,909,1260
1205,1,6,5,13.5,620,1080
1224,13,14,6,19.6,964,1260
1274,9,11,6,25.5,500,840
1281,18,2,1,8.8,562,840
1303,5,17,2,26,540,840
1308,25,3,9,18.2,412,840
1322,14,20,5,15.2,577,840
1328,17,21,4,16.6,977,1260
1354,16,25,10,2.3,451,840
1394,13,10,2,24.5,787,1080
1399,14,13,2,13,739,1080
1403,3,15,7,22.7,1080,1260
1406,19,20,5,5.3,735,1080
1417,8,14,2,15.9,415,840
1428,5,7,6,2.9,428,840
1429,14,16,6,25.6,557,840
1446,21,4,4,23.3,646,1080
1483,2,21,2,13.9,726,1080
1484,6,18,9,7.7,866,1260
1505,2,6,9,17.5,719,1080
1517,2,22,4,22.9,416,840
1520,22,14,10,15,1075,1260
1522,18,13,9,20,898,1260
1536,2,13,4,10.7,474,840
1538,9,10,6,24.7,479,840
1541,1,18,1,20.3,572,840
1548,15,25,7,10.8,993,1260
1558,9,5,10,19.9,378,840
1564,5,23,5,4.2,900,1260
1579,19,4,3,16.2,881,1260
1582,24,22,6,10.7,438,840
1589,5,16,10,24.5,441,840
1598,1,25,5,19.2,1015,1260
1616,24,2,3,6.8,619,1080
1623,19,24,7,3.4,948,1260
1641,10,7,6,12.2,913,1260
1647,24,9,9,8.3,1040,1260
1651,10,4,4,5.6,985,1260
1667,20,3,4,8.2,787,1080
1675,19,23,3,15.8,658,1080
1681,18,9,2,2.8,946,1260
1685,19,7,8,4.8,1001,1260
1709,19,1,9,15.6,898,1260
1727,18,6,9,16.8,629,1080
1729,1,2,6,4.8,667,1080
1737,13,7,4,6.3,486,840
1749,24,10,3,6,467,840
1750,12,11,10,2.2,648,1080
1752,13,19,4,7,778,1080
