i,j, cost , travel_time 
1,1, -   , -   
1,2, 2.43 , 21.00 
1,3, 2.94 , 25.00 
1,4, 4.13 , 35.00 
1,5, 4.64 , 39.00 
1,6, 6.35 , 53.00 
1,7, 4.79 , 40.00 
1,8, 7.67 , 64.00 
1,9, 6.05 , 50.00 
1,10, 2.80 , 24.00 
2,1, 2.43 , 21.00 
2,2, -   , -   
2,3, 3.82 , 32.00 
2,4, 2.75 , 23.00 
2,5, 4.92 , 41.00 
2,6, 4.54 , 38.00 
2,7, 2.49 , 21.00 
2,8, 6.46 , 54.00 
2,9, 7.24 , 60.00 
2,10, 2.66 , 22.00 
3,1, 2.94 , 25.00 
3,2, 3.82 , 32.00 
3,3, -   , -   
3,4, 3.21 , 27.00 
3,5, 1.79 , 15.00 
3,6, 5.32 , 44.00 
3,7, 5.02 , 42.00 
3,8, 5.67 , 47.00 
3,9, 3.42 , 29.00 
3,10, 1.47 , 13.00 
4,1, 4.13 , 35.00 
4,2, 2.75 , 23.00 
4,3, 3.21 , 27.00 
4,4, -   , -   
4,5, 3.18 , 27.00 
4,6, 2.27 , 19.00 
4,7, 2.14 , 18.00 
4,8, 3.73 , 31.00 
4,9, 6.04 , 50.00 
4,10, 1.82 , 16.00 
5,1, 4.64 , 39.00 
5,2, 4.92 , 41.00 
5,3, 1.79 , 15.00 
5,4, 3.18 , 27.00 
5,5, -   , -   
5,6, 4.72 , 39.00 
5,7, 5.31 , 44.00 
5,8, 4.32 , 36.00 
5,9, 2.91 , 25.00 
5,10, 2.27 , 19.00 
6,1, 6.35 , 53.00 
6,2, 4.54 , 38.00 
6,3, 5.32 , 44.00 
6,4, 2.27 , 19.00 
6,5, 4.72 , 39.00 
6,6, -   , -   
6,7, 2.52 , 21.00 
6,8, 2.54 , 22.00 
6,9, 7.61 , 63.00 
6,10, 4.05 , 34.00 
7,1, 4.79 , 40.00 
7,2, 2.49 , 21.00 
7,3, 5.02 , 42.00 
7,4, 2.14 , 18.00 
7,5, 5.31 , 44.00 
7,6, 2.52 , 21.00 
7,7, -   , -   
7,8, 4.93 , 41.00 
7,9, 8.12 , 68.00 
7,10, 3.55 , 30.00 
8,1, 7.67 , 64.00 
8,2, 6.46 , 54.00 
8,3, 5.67 , 47.00 
8,4, 3.73 , 31.00 
8,5, 4.32 , 36.00 
8,6, 2.54 , 22.00 
8,7, 4.93 , 41.00 
8,8, -   , -   
8,9, 6.78 , 56.00 
8,10, 4.93 , 41.00 
9,1, 6.05 , 50.00 
9,2, 7.24 , 60.00 
9,3, 3.42 , 29.00 
9,4, 6.04 , 50.00 
9,5, 2.91 , 25.00 
9,6, 7.61 , 63.00 
9,7, 8.12 , 68.00 
9,8, 6.78 , 56.00 
9,9, -   , -   
9,10, 4.71 , 39.00 
10,1, 2.80 , 24.00 
10,2, 2.66 , 22.00 
10,3, 1.47 , 13.00 
10,4, 1.82 , 16.00 
10,5, 2.27 , 19.00 
10,6, 4.05 , 34.00 
10,7, 3.55 , 30.00 
10,8, 4.93 , 41.00 
10,9, 4.71 , 39.00 
10,10, -   , -   
1,60, 0.97 , 2.67 
2,60, 0.38 , 1.33 
3,60, 1.11 , 3.33 
4,60, 0.52 , 1.67 
5,60, 1.26 , 3.67 
6,60, 0.81 , 2.33 
7,60, 0.24 , 0.67 
8,60, 1.36 , 4.00 
9,60, 1.93 , 5.33 
10,60, 0.75 , 2.33 
1,65, 0.43 , 1.33 
2,65, 0.88 , 2.67 
3,65, 0.39 , 1.33 
4,65, 1.02 , 3.00 
5,65, 0.84 , 2.33 
6,65, 1.58 , 4.67 
7,65, 1.35 , 4.00 
8,65, 1.77 , 5.00 
9,65, 1.09 , 3.33 
10,65, 0.57 , 1.67 
1,70, 0.43 , 1.33 
2,70, 0.42 , 1.33 
3,70, 1.08 , 3.00 
4,70, 1.08 , 3.00 
5,70, 1.45 , 4.00 
6,70, 1.56 , 4.33 
7,70, 1.03 , 3.00 
8,70, 2.01 , 5.67 
9,70, 1.90 , 5.33 
10,70, 0.91 , 2.67 
1,75, 1.77 , 5.00 
2,75, 2.08 , 6.00 
3,75, 1.13 , 3.33 
4,75, 1.77 , 5.00 
5,75, 0.98 , 3.00 
6,75, 2.14 , 6.00 
7,75, 2.29 , 6.33 
8,75, 1.87 , 5.33 
9,75, 0.27 , 1.00 
10,75, 1.45 , 4.00 
1,80, 1.16 , 3.33 
2,80, 1.09 , 3.33 
3,80, 0.56 , 1.67 
4,80, 0.55 , 1.67 
5,80, 0.28 , 1.00 
6,80, 0.90 , 2.67 
7,80, 1.08 , 3.00 
8,80, 0.86 , 2.67 
9,80, 1.01 , 3.00 
10,80, 0.48 , 1.33 
