k,o_k,d_k,w_k,q_k,e_k,l_k
8,2,4,5,17.93,648,1080
49,3,4,4,4.01,942,1260
60,3,1,7,31.24,1022,1260
117,4,2,10,5.9,863,1260
148,2,1,6,26.01,620,1080
313,2,1,9,8.04,724,1080
465,4,2,2,17.7,536,840
533,5,3,3,21.53,913,1260
703,3,4,10,21.98,855,1260
731,3,1,9,23.42,538,840
767,5,3,8,6.93,922,1260
828,3,4,3,30.51,583,840
905,5,4,10,14.07,556,840
1069,3,1,9,20.05,830,1080
1072,3,4,10,25.06,570,840
1122,2,5,2,12.28,691,1080
1318,4,3,6,11.81,867,1260
1414,4,3,4,18.08,505,840
1566,2,1,2,22.94,559,840
1740,3,2,3,23.76,894,1260
1787,4,5,7,8.38,421,840
1860,3,2,9,31.43,1056,1260
1883,1,4,7,12.52,523,840
2359,4,2,4,24.36,762,1080
2377,2,4,7,21.86,804,1080
2421,2,3,1,19.73,1010,1260
2542,5,4,7,13.95,784,1080
2564,1,5,4,4.15,928,1260
2635,3,4,8,11.15,908,1260
2776,3,5,4,31.9,472,840
2925,2,1,5,22.47,930,1260
3024,2,4,1,4.86,747,1080
3032,2,4,3,16.04,780,1080
3174,5,1,4,26.02,1075,1260
3187,3,4,7,18.86,746,1080
3391,4,3,10,7.08,1031,1260
3589,2,5,3,18.42,835,1080
3659,5,4,8,6.97,619,1080
3713,5,4,5,25.83,999,1260
3749,1,5,6,25.52,1066,1260
3802,3,1,7,18.12,410,840
3808,3,1,8,17.1,684,1080
3896,1,3,1,27.12,695,1080
3904,1,5,3,30.68,891,1260
4085,3,4,5,17.64,440,840
4099,5,4,4,29.08,994,1260
4229,2,3,3,21.04,959,1260
4262,3,5,3,14.71,641,1080
4395,4,5,1,8.18,427,840
4405,5,1,5,26.05,603,1080
4597,1,2,3,20.88,614,1080
4803,4,5,9,21.94,662,1080
4812,5,2,8,32.28,784,1080
4817,1,4,6,23.44,412,840
4830,3,4,5,16.3,1000,1260
4894,1,4,1,31.84,447,840
5016,4,5,1,10.82,807,1080
5158,2,3,2,16.68,373,840
5235,5,4,6,14.04,705,1080
5237,5,1,7,30.37,490,840
5297,2,1,5,4.04,547,840
5458,3,2,9,28.65,1018,1260
5544,4,3,3,19.11,977,1260
5578,3,2,4,13.03,943,1260
5609,2,4,5,10.05,376,840
6039,4,5,10,24.56,660,1080
6051,1,3,9,5.36,825,1080
6415,1,2,1,9.78,576,840
6449,5,2,2,5.17,781,1080
6550,4,5,3,6.45,503,840
6580,3,2,9,29.13,653,1080
6726,2,5,2,7.01,731,1080
6738,5,1,3,10.01,638,1080
6857,5,1,9,22.07,500,840
6884,5,1,8,19.66,479,840
6921,3,5,8,14.1,920,1260
7034,1,5,1,9.41,583,840
7136,1,4,4,24.08,719,1080
7679,3,5,8,31.02,552,840
7720,5,1,1,31.8,1002,1260
8080,2,5,4,12.53,362,840
8164,5,1,9,6.54,618,1080
8209,3,1,9,28.41,872,1260
8290,5,4,4,20.48,380,840
8401,5,2,3,11.02,792,1080
8567,2,5,5,23.54,605,1080
8578,1,2,7,6.2,516,840
8607,3,4,1,5.24,1063,1260
8618,4,3,3,15.44,1001,1260
8697,4,3,3,21.89,744,1080
8896,2,3,10,23.29,708,1080
8897,3,5,10,8.76,574,840
9221,3,5,3,19.89,1002,1260
9236,1,5,9,25.61,965,1260
9251,2,4,5,22.41,800,1080
9258,2,4,2,8.65,454,840
9284,1,4,1,23.8,623,1080
9496,1,5,7,7.14,1074,1260
9571,4,3,5,16.59,1013,1260
9809,2,4,2,20.17,413,840
