k,o_k,d_k,w_k,q_k,e_k,l_k
25,13,4,3,5.4,1071,1260
29,7,5,3,8.6,405,840
43,19,10,5,10.2,543,840
66,1,8,1,6.8,863,1260
73,11,13,1,4.7,918,1260
78,5,20,6,21.3,510,840
107,2,21,3,16.7,744,1080
133,8,18,4,17.3,493,840
154,4,19,9,16,576,840
179,5,21,6,19.3,653,1080
202,21,17,5,9.9,497,840
235,5,17,7,12.8,852,1260
253,10,12,4,22.5,891,1260
303,17,20,1,4.2,675,1080
307,24,22,3,2.9,1023,1260
317,16,6,5,20,713,1080
343,9,3,8,13.1,949,1260
344,16,4,5,20.1,700,1080
348,9,1,3,11.9,897,1260
353,7,9,3,11.7,530,840
434,16,22,5,7.4,762,1080
436,25,16,6,6,859,1260
515,10,21,5,19,894,1260
557,23,5,6,7.6,716,1080
572,4,7,2,21.6,964,1260
583,21,19,8,2.6,931,1260
630,3,24,6,16.8,549,840
650,25,24,2,22.1,472,840
667,22,6,7,11.4,408,840
695,23,22,9,26,1011,1260
728,12,4,6,1.6,689,1080
733,18,2,5,4.2,387,840
735,12,22,10,10.3,974,1260
747,3,13,3,9,960,1260
752,6,17,7,5.7,401,840
760,5,24,5,6.4,1003,1260
794,10,12,4,25.1,718,1080
814,18,4,7,13.6,900,1260
820,10,13,4,3.5,769,1080
874,17,16,7,5.4,676,1080
903,21,17,6,17.3,1068,1260
920,20,16,2,15.7,543,840
941,2,5,8,18.7,542,840
949,21,25,8,2.8,1041,1260
956,14,6,7,11.5,390,840
1008,21,13,8,13.3,987,1260
1015,5,1,3,21.4,682,1080
1055,21,8,6,18.2,776,1080
1067,6,11,8,9,917,1260
1070,2,10,5,7.4,1061,1260
1105,23,21,1,5.6,903,1260
1197,16,17,4,20.9,689,1080
1210,2,12,1,3,517,840
1234,2,4,9,5.8,1019,1260
1248,17,25,3,24.4,658,1080
1344,7,3,3,11.4,491,840
1362,17,23,8,10.8,1012,1260
1366,9,8,7,2.2,906,1260
1405,18,13,10,16.4,896,1260
1406,19,20,5,5.3,735,1080
1421,20,12,8,12.7,866,1260
1431,5,17,1,2.7,946,1260
1454,8,14,8,1.5,872,1260
1476,9,21,1,6,750,1080
1516,25,10,1,6.4,412,840
1535,6,21,3,6.3,597,840
1598,1,25,5,19.2,1015,1260
1621,16,2,3,4.2,653,1080
1644,17,8,9,18.3,716,1080
1677,23,8,1,15.2,386,840
1685,19,7,8,4.8,1001,1260
1700,23,5,3,1.1,1022,1260
1703,12,21,2,4.9,1042,1260
1723,19,2,1,9.9,528,840
1752,13,19,4,7,778,1080
1754,16,14,1,3.6,559,840
1763,10,15,2,24.4,880,1260
1834,11,8,3,2.5,633,1080
1855,3,2,8,17.4,1080,1260
1864,11,13,9,15.5,864,1260
1895,21,23,5,19.2,545,840
1920,16,22,4,9.5,510,840
1938,2,5,8,3.3,666,1080
1951,5,6,6,6,424,840
1952,7,12,9,1.4,623,1080
1965,8,13,8,3.2,491,840
2052,19,24,4,22,439,840
2096,8,13,3,22.4,656,1080
2097,6,2,3,19.3,596,840
2123,23,11,6,14.3,1020,1260
2127,8,3,3,13.9,677,1080
2139,19,12,3,22.8,476,840
2142,19,18,6,4.2,868,1260
2190,23,14,10,23.6,1053,1260
2242,22,4,10,6.2,665,1080
2248,1,12,1,12.9,471,840
2249,18,8,9,22.7,1052,1260
2256,14,7,8,8.9,417,840
2287,17,14,5,15.6,771,1080
2302,10,2,3,9.6,739,1080
2312,17,2,10,6.1,469,840
2316,18,12,6,21.7,717,1080
2342,17,20,2,20.2,870,1260
2343,17,18,4,20.9,1062,1260
2354,8,4,1,22.8,678,1080
2391,16,11,7,6.8,799,1080
2419,9,17,5,18.7,893,1260
2422,2,4,7,12.7,1020,1260
2434,7,11,7,16.3,898,1260
2437,22,3,3,20.4,889,1260
2454,25,9,5,3.6,510,840
2478,24,19,4,22.7,858,1260
2482,22,17,4,11.7,736,1080
2571,13,4,6,11.9,655,1080
2583,4,9,7,4.3,504,840
2587,10,1,8,10.2,1045,1260
2609,22,1,2,6.3,556,840
2666,14,12,10,3.3,468,840
2721,19,14,10,9.4,1073,1260
2730,4,13,6,19.2,1038,1260
2798,8,9,7,12.9,660,1080
2821,4,3,8,21.6,374,840
2824,14,21,3,10.1,397,840
2854,10,7,7,18.6,482,840
2869,2,8,2,21.8,563,840
2895,23,1,10,25.8,394,840
2901,1,17,4,11.8,982,1260
2922,14,16,4,13.6,473,840
2941,2,24,1,7.1,697,1080
2943,18,1,9,22.5,771,1080
2953,17,10,10,4.9,692,1080
2975,9,15,5,18.9,647,1080
2980,10,17,4,3.4,483,840
3001,1,10,6,3.5,1077,1260
3018,25,1,1,6.7,490,840
3081,9,24,1,15.9,1061,1260
3095,15,14,7,25.9,617,1080
3136,13,10,4,13.5,975,1260
3160,23,12,1,3.1,1008,1260
3169,2,1,7,8.3,782,1080
3170,22,12,3,12.4,939,1260
3171,12,9,9,10.5,606,1080
3205,23,5,2,16.2,479,840
3237,11,19,3,23.9,525,840
3288,13,15,5,21.4,521,840
3293,22,12,8,9.1,744,1080
3351,3,22,3,9,492,840
3365,6,10,4,7.9,920,1260
3372,2,19,3,1.8,812,1080
3394,4,23,6,11.7,645,1080
3413,8,7,4,20.5,410,840
3416,15,14,5,11.7,963,1260
3418,10,18,7,20.6,1057,1260
3436,1,11,1,13.1,514,840
3442,9,17,4,18.9,1060,1260
3453,5,9,4,2.4,639,1080
3456,7,21,9,10.8,501,840
3470,19,21,5,25,978,1260
3483,10,22,1,15.9,502,840
3492,4,25,10,23.1,383,840
3497,20,23,8,10,639,1080
3499,25,23,6,10.7,552,840
3506,7,6,9,4.2,962,1260
