k,o_k,d_k,w_k,q_k,e_k,l_k
1,5,2,10, 26.97 ,604,1080
2,1,2,10, 26.88 ,899,1260
3,3,4,3, 25.82 ,931,1260
4,4,3,4, 22.69 ,840,1260
5,2,5,6, 29.07 ,1029,1260
6,1,4,9, 29.18 ,536,840
7,4,3,2, 27.22 ,873,1260
8,2,4,5, 16.73 ,648,1080
9,1,4,3, 11.48 ,487,840
10,3,1,6, 6.44 ,789,1080
11,4,1,2, 5.98 ,686,1080
12,1,3,2, 27.65 ,906,1260
13,3,5,7, 21.86 ,396,840
14,5,2,6, 25.34 ,416,840
15,1,2,6, 12.72 ,504,840
16,1,5,8, 27.38 ,869,1260
17,5,2,6, 28.09 ,732,1080
18,5,3,7, 29.29 ,622,1080
19,4,2,2, 7.73 ,985,1260
20,3,1,7, 4.06 ,994,1260
21,5,2,4, 28.07 ,864,1260
22,5,1,1, 19.78 ,406,840
23,5,2,6, 7.73 ,693,1080
24,3,4,8, 25.29 ,1062,1260
25,5,2,3, 17.54 ,1071,1260
26,3,5,1, 14.20 ,560,840
27,4,1,10, 5.68 ,686,1080
28,3,4,3, 11.90 ,393,840
29,4,2,3, 19.20 ,405,840
30,2,4,3, 14.63 ,688,1080
31,4,2,5, 20.70 ,421,840
32,3,2,7, 20.84 ,449,840
33,5,2,4, 31.20 ,701,1080
34,3,2,3, 28.16 ,994,1260
35,5,3,7, 31.64 ,520,840
36,2,1,1, 15.67 ,505,840
37,5,3,3, 31.11 ,981,1260
38,4,1,5, 30.31 ,653,1080
39,3,1,3, 12.72 ,970,1260
40,2,1,4, 15.73 ,746,1080
41,4,1,3, 6.52 ,550,840
42,4,5,9, 7.51 ,540,840
43,3,2,5, 17.75 ,543,840
44,5,4,7, 13.42 ,559,840
45,1,5,2, 18.75 ,1009,1260
46,4,2,9, 30.91 ,530,840
47,5,2,8, 19.84 ,769,1080
48,3,2,7, 22.98 ,885,1260
49,3,4,4, 14.79 ,942,1260
50,4,3,4, 21.25 ,849,1260
51,3,2,9, 31.19 ,966,1260
52,1,2,8, 26.95 ,1039,1260
53,3,5,6, 32.11 ,988,1260
54,1,3,7, 22.31 ,683,1080
55,5,3,2, 4.50 ,584,840
56,2,5,2, 21.48 ,823,1080
57,5,3,7, 26.49 ,617,1080
58,4,2,9, 9.91 ,493,840
59,3,5,10, 6.82 ,523,840
60,3,1,7, 6.11 ,1022,1260
61,1,2,6, 27.99 ,957,1260
62,5,1,9, 14.80 ,904,1260
63,1,3,2, 29.30 ,981,1260
64,1,3,2, 9.05 ,845,1260
65,4,2,9, 11.47 ,1044,1260
66,4,2,1, 14.70 ,863,1260
67,2,3,7, 10.26 ,1035,1260
68,5,1,6, 14.14 ,428,840
69,5,2,10, 20.03 ,859,1260
70,5,4,4, 10.51 ,612,1080
71,1,4,1, 14.96 ,904,1260
72,1,2,2, 11.76 ,433,840
73,2,4,1, 14.83 ,918,1260
74,4,2,8, 7.69 ,753,1080
75,4,1,3, 8.94 ,641,1080
76,1,2,5, 20.73 ,801,1080
77,5,4,2, 13.65 ,378,840
78,1,4,6, 30.83 ,510,840
79,4,2,1, 4.05 ,522,840
80,5,3,9, 8.12 ,363,840
81,5,4,3, 21.45 ,937,1260
82,2,5,10, 30.06 ,518,840
83,1,4,4, 30.83 ,799,1080
84,4,3,9, 7.21 ,803,1080
85,5,4,8, 7.47 ,372,840
86,2,3,3, 13.33 ,364,840
87,1,4,8, 31.60 ,583,840
88,3,1,2, 28.35 ,558,840
89,4,5,9, 23.42 ,919,1260
90,4,3,4, 6.39 ,749,1080
91,5,3,8, 27.64 ,927,1260
92,3,5,10, 18.80 ,512,840
93,4,2,5, 26.98 ,648,1080
94,1,2,3, 21.47 ,682,1080
95,3,5,2, 29.64 ,1058,1260
96,1,2,10, 11.60 ,984,1260
97,5,1,1, 4.34 ,698,1080
98,4,2,10, 9.94 ,417,840
99,1,2,3, 7.75 ,494,840
100,1,4,7, 12.25 ,1043,1260
101,2,5,3, 25.68 ,362,840
102,4,5,1, 12.42 ,429,840
103,2,4,9, 27.53 ,886,1260
104,4,5,5, 9.17 ,740,1080
105,1,4,10, 21.55 ,733,1080
106,1,2,10, 5.31 ,558,840
107,3,2,3, 12.83 ,744,1080
108,4,1,7, 10.64 ,995,1260
109,4,3,5, 28.25 ,866,1260
110,3,2,7, 24.61 ,835,1080
111,2,4,3, 22.16 ,763,1080
112,4,1,7, 19.31 ,511,840
113,4,5,9, 13.92 ,532,840
114,3,5,8, 9.01 ,593,840
115,1,5,9, 23.51 ,673,1080
116,5,3,10, 19.14 ,828,1080
117,4,2,10, 31.76 ,863,1260
118,4,1,1, 25.11 ,426,840
119,5,3,3, 14.41 ,864,1260
120,5,1,7, 7.32 ,560,840
121,4,1,5, 12.07 ,836,1080
122,3,1,8, 8.41 ,368,840
123,2,1,1, 21.99 ,451,840
124,3,4,8, 7.82 ,685,1080
125,2,5,7, 10.09 ,416,840
126,1,5,8, 25.97 ,456,840
127,3,5,5, 12.87 ,1040,1260
128,2,3,6, 6.32 ,621,1080
129,2,4,3, 22.33 ,367,840
130,1,2,10, 19.18 ,437,840
131,5,1,1, 28.20 ,636,1080
132,5,1,8, 10.27 ,1043,1260
133,5,1,4, 24.21 ,493,840
134,3,4,5, 8.95 ,1052,1260
135,2,4,6, 30.78 ,909,1260
136,5,2,4, 4.05 ,663,1080
137,5,3,2, 16.68 ,1053,1260
138,4,2,9, 23.37 ,670,1080
139,4,1,1, 11.15 ,1032,1260
140,4,5,8, 31.18 ,523,840
141,1,4,6, 23.51 ,808,1080
142,5,3,10, 25.55 ,474,840
143,3,2,3, 23.74 ,956,1260
144,4,2,7, 5.11 ,795,1080
145,2,1,4, 26.15 ,1007,1260
146,3,4,6, 26.47 ,1074,1260
147,4,3,7, 7.43 ,392,840
148,2,1,6, 13.92 ,620,1080
149,1,2,5, 31.06 ,689,1080
150,4,5,4, 32.21 ,984,1260
151,4,2,1, 24.32 ,370,840
152,3,4,3, 20.15 ,556,840
153,2,1,1, 10.43 ,965,1260
154,2,4,9, 8.95 ,576,840
155,5,2,8, 21.11 ,869,1260
156,4,3,3, 14.13 ,733,1080
157,1,3,1, 25.98 ,688,1080
158,1,5,4, 18.77 ,374,840
159,3,2,9, 7.04 ,611,1080
160,5,4,6, 12.96 ,867,1260
161,3,1,7, 19.00 ,873,1260
162,4,5,1, 15.37 ,848,1260
163,2,1,3, 16.53 ,557,840
164,3,2,9, 6.74 ,894,1260
165,3,2,7, 16.76 ,1018,1260
166,2,1,5, 23.03 ,984,1260
167,2,3,6, 10.30 ,750,1080
168,5,1,9, 26.98 ,903,1260
169,1,2,7, 7.72 ,1025,1260
170,3,2,7, 20.21 ,1075,1260
171,1,2,8, 6.87 ,474,840
172,2,4,7, 16.74 ,932,1260
173,4,1,8, 12.12 ,533,840
174,4,3,8, 15.25 ,475,840
175,3,1,7, 7.30 ,993,1260
176,4,2,3, 4.24 ,434,840
177,2,1,5, 30.45 ,632,1080
178,1,2,3, 4.20 ,374,840
179,4,5,6, 29.04 ,653,1080
180,4,5,2, 11.42 ,626,1080
181,2,4,2, 9.86 ,1046,1260
182,1,5,6, 16.67 ,552,840
183,4,2,2, 8.78 ,465,840
184,2,1,9, 4.45 ,375,840
185,4,5,1, 5.29 ,523,840
186,4,2,1, 14.91 ,1061,1260
187,4,2,7, 11.93 ,632,1080
188,3,1,1, 10.96 ,1061,1260
189,5,2,4, 21.57 ,630,1080
190,4,2,4, 32.33 ,727,1080
191,3,2,7, 17.87 ,855,1260
192,4,3,6, 27.08 ,824,1080
193,5,4,4, 9.49 ,555,840
194,3,1,4, 15.00 ,569,840
195,3,2,2, 25.11 ,872,1260
196,2,3,7, 22.81 ,625,1080
197,1,3,7, 27.78 ,778,1080
198,1,4,5, 27.93 ,797,1080
199,4,2,7, 24.99 ,623,1080
200,3,2,7, 11.54 ,688,1080
201,5,3,7, 4.00 ,729,1080
202,5,2,5, 25.80 ,497,840
203,3,4,3, 29.36 ,831,1080
204,1,2,3, 31.01 ,748,1080
205,3,2,10, 13.27 ,564,840
206,2,3,8, 30.64 ,780,1080
207,4,1,1, 32.16 ,647,1080
208,1,3,2, 15.73 ,636,1080
209,5,4,9, 25.27 ,576,840
210,1,3,1, 4.93 ,1009,1260
211,3,4,7, 16.14 ,1036,1260
212,3,5,4, 4.32 ,952,1260
213,2,4,8, 29.61 ,849,1260
214,2,1,1, 18.96 ,773,1080
215,3,2,5, 18.73 ,602,1080
216,2,1,10, 14.18 ,729,1080
217,2,1,6, 18.32 ,588,840
218,1,5,10, 29.46 ,608,1080
219,1,2,5, 8.82 ,393,840
220,2,1,6, 31.79 ,778,1080
221,5,3,3, 20.96 ,497,840
222,2,3,5, 14.92 ,977,1260
223,5,4,9, 16.16 ,984,1260
224,4,5,6, 23.82 ,450,840
225,4,1,4, 21.20 ,439,840
226,3,2,9, 23.20 ,1000,1260
227,5,2,8, 17.73 ,844,1260
228,1,3,5, 21.73 ,688,1080
229,1,5,3, 12.26 ,682,1080
230,2,3,4, 25.06 ,650,1080
231,4,1,7, 22.38 ,565,840
232,2,1,8, 10.34 ,476,840
233,3,4,9, 22.68 ,680,1080
234,3,5,7, 15.51 ,718,1080
235,2,5,7, 31.02 ,852,1260
236,4,3,2, 13.16 ,892,1260
237,3,1,3, 19.91 ,860,1260
238,3,2,3, 32.11 ,691,1080
239,1,2,4, 18.42 ,893,1260
240,5,4,7, 13.82 ,703,1080
241,1,2,1, 28.56 ,558,840
242,3,5,7, 17.50 ,929,1260
243,3,5,10, 10.71 ,824,1080
244,1,4,7, 5.02 ,849,1260
