k,o_k,d_k,w_k,q_k,e_k,l_k
8,5,6,5,29.84,648,1080
9,9,8,3,8.03,487,840
14,6,1,6,28.17,416,840
23,4,3,6,23.72,693,1080
24,6,8,8,34.16,1062,1260
26,10,4,1,16.36,560,840
27,3,6,10,15.34,686,1080
31,3,5,5,6.14,421,840
37,3,2,3,37.36,981,1260
53,2,4,6,15.82,988,1260
65,1,6,9,32.79,1044,1260
75,1,2,3,4.48,641,1080
82,4,6,10,32.39,518,840
93,7,9,5,15.92,648,1080
100,7,5,7,34.45,1043,1260
101,5,4,3,14.45,362,840
110,3,8,7,9.98,835,1080
119,7,8,3,27.39,864,1260
128,10,8,6,11.58,621,1080
133,2,5,4,33.12,493,840
146,4,2,6,19.97,1074,1260
147,2,10,7,33.8,392,840
150,9,5,4,6.72,984,1260
151,8,4,1,32.74,370,840
152,2,5,3,34.48,556,840
155,7,2,8,17.24,869,1260
171,9,5,8,29.28,474,840
177,1,4,5,26.74,632,1080
184,10,2,9,16.11,375,840
195,1,10,2,5.87,872,1260
200,5,4,7,7.64,688,1080
202,1,4,5,24.15,497,840
233,5,10,9,8.8,680,1080
246,3,5,5,35.12,1009,1260
251,5,8,6,23.04,894,1260
263,10,8,9,5.84,1025,1260
268,5,2,6,17.41,872,1260
278,7,3,8,32.86,738,1080
306,3,8,8,29.75,525,840
309,5,1,2,5.68,746,1080
316,5,3,7,4.7,658,1080
319,4,7,4,25.17,488,840
321,7,1,8,34.77,1032,1260
324,4,5,10,33.16,731,1080
331,5,9,8,17.31,1050,1260
333,1,4,5,10.68,777,1080
346,3,9,7,27.49,625,1080
366,9,5,2,18.78,717,1080
401,6,7,4,6.22,1078,1260
403,7,5,5,32.41,547,840
404,6,3,10,18.01,685,1080
412,6,9,5,14.15,865,1260
438,6,2,4,7.4,554,840
441,8,6,4,4.09,367,840
453,7,8,10,24.66,729,1080
477,6,4,6,11.91,478,840
479,2,3,2,35.22,1062,1260
498,1,2,9,20.21,538,840
505,5,8,6,31.97,995,1260
517,2,5,8,23.12,1008,1260
546,7,2,5,36.76,674,1080
562,4,8,5,7.71,377,840
563,7,4,7,24.82,690,1080
565,7,3,10,26.82,385,840
591,8,1,2,14.96,781,1080
592,10,3,6,8.66,1052,1260
594,5,6,6,5.67,508,840
604,10,1,10,36.91,677,1080
614,3,6,6,19.4,936,1260
622,6,8,3,16.84,813,1080
630,1,2,6,10.04,549,840
633,6,5,5,33.96,544,840
639,4,7,10,34.94,972,1260
645,9,7,7,13.76,879,1260
661,8,1,6,21.7,992,1260
668,4,10,9,20.72,991,1260
683,8,9,10,19.08,903,1260
689,3,5,7,24.38,646,1080
695,5,1,9,6.72,1011,1260
701,3,5,9,27.33,898,1260
717,3,1,5,32.05,560,840
742,3,6,7,23.49,464,840
744,6,1,2,24.79,969,1260
752,3,5,7,31.95,401,840
753,2,3,6,17.11,589,840
765,8,3,6,31.39,854,1260
781,4,1,3,26.38,715,1080
796,2,7,8,18.02,846,1260
803,2,1,2,7.49,734,1080
815,4,10,9,27.99,975,1260
818,7,3,1,25.46,1062,1260
831,2,3,6,10.75,778,1080
851,7,3,4,6.25,945,1260
855,3,4,8,20.54,1025,1260
856,6,7,5,25.59,1076,1260
876,2,6,6,31.86,774,1080
891,6,2,1,35.46,533,840
915,4,1,5,16.7,714,1080
925,9,8,10,9.73,641,1080
934,3,9,4,19.56,958,1260
961,5,2,5,7.5,876,1260
966,8,3,4,14.44,589,840
997,2,4,5,7.33,580,840
1016,3,4,9,20.39,788,1080
1036,2,10,8,26.77,984,1260
1043,5,3,4,19.44,720,1080
1053,7,4,3,6.6,569,840
1063,5,4,1,33.4,895,1260
1082,3,8,10,9.57,943,1260
1098,10,1,10,6.9,684,1080
1128,9,1,2,6.19,810,1080
1144,7,9,4,32.3,427,840
1148,3,9,10,11.72,366,840
1151,2,8,10,17.65,822,1080
1159,4,3,4,35.65,681,1080
1165,8,7,8,11.04,948,1260
1175,1,3,8,26.47,885,1260
1182,1,5,4,10.29,376,840
1187,7,8,5,13.48,556,840
1198,8,7,5,24.61,646,1080
1200,7,6,2,32.27,909,1260
1205,7,6,5,13.03,620,1080
1224,4,3,6,29.44,964,1260
1274,3,2,6,21.57,500,840
1281,6,9,1,10.78,562,840
1303,10,4,2,25.14,540,840
1308,5,2,9,32.27,412,840
1322,3,5,5,10.04,577,840
1328,5,3,4,8.69,977,1260
1354,8,6,10,28.31,451,840
1394,1,7,2,22.45,787,1080
1399,1,3,2,20.23,739,1080
1403,10,9,7,8.16,1080,1260
1406,9,3,5,11.81,735,1080
1417,7,2,2,30.47,415,840
1428,4,8,6,23.55,428,840
1429,3,8,6,27.39,557,840
1446,8,3,4,13.12,646,1080
1483,4,8,2,33.31,726,1080
1484,10,3,9,26.82,866,1260
1505,4,9,9,18.52,719,1080
1517,10,2,4,11.13,416,840
1520,6,7,10,5.03,1075,1260
1522,7,9,9,36.27,898,1260
1536,1,8,4,35.11,474,840
1538,8,4,6,26.07,479,840
1541,6,3,1,22.27,572,840
1548,3,6,7,16.94,993,1260
1558,10,7,10,16.79,378,840
1564,6,5,5,32.92,900,1260
1579,2,1,3,37.77,881,1260
1582,7,6,6,8.71,438,840
1589,10,5,10,6.38,441,840
1598,1,3,5,35.56,1015,1260
1616,4,5,3,5.22,619,1080
1623,7,2,7,31.64,948,1260
1641,3,5,6,27.83,913,1260
1647,9,7,9,22.91,1040,1260
1651,7,10,4,25.84,985,1260
1667,3,1,4,20.88,787,1080
1675,3,4,3,35.25,658,1080
1681,7,6,2,34.92,946,1260
1685,9,10,8,31.72,1001,1260
1709,4,9,9,15.65,898,1260
1727,6,7,9,37.44,629,1080
1729,10,3,6,13.24,667,1080
1737,7,8,4,9.69,486,840
1749,1,3,3,25.97,467,840
1750,5,9,10,33.26,648,1080
1752,9,1,4,36.91,778,1080
1755,5,2,7,36.06,717,1080
1756,3,2,1,33.64,778,1080
1757,7,4,6,36,633,1080
1762,4,10,2,36.47,862,1260
1765,6,4,1,19.07,720,1080
1767,9,10,9,23.83,436,840
1774,5,10,7,19.2,582,840
1793,5,4,2,5.96,759,1080
1800,5,2,3,35.88,788,1080
1807,3,1,10,32.54,497,840
1811,3,10,9,8.01,646,1080
1813,7,8,4,14.1,976,1260
1814,3,10,3,20.84,1021,1260
1834,4,8,3,29.6,633,1080
1842,2,3,9,26.61,808,1080
1852,7,3,6,26.27,462,840
1870,9,7,10,30.18,857,1260
1874,4,10,7,19.62,920,1260
1894,9,3,1,10.76,776,1080
1898,5,10,8,4.56,891,1260
1902,4,8,8,24.36,815,1080
1924,10,6,7,7.99,1027,1260
1934,4,8,6,15.4,624,1080
1944,7,6,4,8.38,837,1080
1961,7,8,10,26.92,626,1080
1962,4,2,9,24.86,904,1260
1970,8,9,4,5.05,899,1260
1971,5,3,5,36.89,646,1080
1978,2,3,9,18.6,964,1260
2003,10,1,5,20.91,739,1080
2007,9,6,8,24.35,812,1080
2020,7,8,8,8.82,395,840
2032,5,9,3,17.02,800,1080
2043,3,9,7,30.21,717,1080
2046,4,1,5,23,477,840
2051,7,3,4,24.59,961,1260
2054,2,4,3,14.8,478,840
2056,9,2,8,27.57,424,840
2058,8,5,7,25.6,1033,1260
2063,6,9,1,4.67,998,1260
2066,3,5,10,11.8,813,1080
2069,10,6,2,15.85,916,1260
2071,6,4,6,24.21,834,1080
2087,10,6,1,4.6,929,1260
2097,2,7,3,15.47,596,840
2101,5,1,6,30.07,763,1080
2111,6,10,1,6.75,880,1260
2116,5,8,4,25.35,1038,1260
2117,2,8,3,26.43,489,840
2129,5,4,10,20.48,990,1260
2130,10,8,3,34.38,865,1260
2135,4,3,4,7.83,362,840
2146,2,8,7,22.9,441,840
2150,1,8,6,18.48,638,1080
2159,4,6,3,25.61,648,1080
2179,10,6,6,16.7,531,840
2181,6,7,3,8.26,847,1260
2187,3,8,10,33.03,666,1080
2194,7,2,5,15.72,755,1080
2221,3,8,4,25.15,834,1080
2222,5,4,9,29.3,842,1260
2223,5,3,3,28.37,670,1080
2224,4,5,2,15.7,563,840
2229,8,3,8,36.75,624,1080
2246,1,10,9,17.37,768,1080
2253,3,5,2,11.28,767,1080
2258,9,7,2,18.13,541,840
2259,1,6,6,31.29,597,840
2271,2,8,3,27.29,572,840
2316,9,10,6,9.67,717,1080
2357,9,7,8,34.38,943,1260
2370,10,5,4,30.65,539,840
2371,4,10,9,13.14,874,1260
2373,5,7,10,26.56,596,840
2385,10,9,10,4.78,995,1260
2398,10,8,6,20.69,415,840
2417,5,6,3,24.47,476,840
2427,4,1,5,32.25,695,1080
2447,2,6,7,18.53,753,1080
2482,6,1,4,19.53,736,1080
2486,1,7,1,19.46,671,1080
2497,1,10,7,6.36,428,840
2508,6,5,8,10.04,432,840
2531,2,4,3,17.95,1007,1260
2537,10,7,2,18.96,989,1260
2566,6,2,4,12.53,778,1080
2567,9,1,7,20.8,843,1260
2568,4,8,2,14.67,1032,1260
2573,9,7,2,25.69,659,1080
2612,1,9,10,12.85,852,1260
2635,6,3,8,6.69,908,1260
2644,9,4,5,28.41,612,1080
2660,6,8,7,36.71,870,1260
2673,5,1,3,8.07,581,840
2691,7,3,3,16.57,539,840
2695,2,7,2,6.53,748,1080
2696,1,2,5,12.58,964,1260
2697,2,6,7,8.68,485,840
2711,7,6,2,32.03,751,1080
2718,6,5,7,11.75,495,840
2728,7,9,6,18.61,788,1080
2733,9,10,8,9.19,967,1260
2759,2,9,10,32.99,576,840
2803,6,10,7,26.17,596,840
2828,3,2,3,8.32,700,1080
2831,6,3,6,5.34,990,1260
2842,3,10,1,24.93,814,1080
2848,4,10,6,23.73,488,840
2850,5,9,3,33.49,551,840
2861,5,8,2,20.24,867,1260
