k,o_k,d_k,w_k,q_k,e_k,l_k
2,9,5,10,4.4,899,1260
4,15,20,4,18.9,840,1260
7,8,13,2,24.7,873,1260
8,3,18,5,25.5,648,1080
9,5,19,3,12,487,840
10,1,9,6,24,789,1080
11,12,15,2,11.1,686,1080
13,13,18,7,22,396,840
14,19,18,6,8.9,416,840
16,8,4,8,15.6,869,1260
17,15,3,6,2.9,732,1080
19,11,6,2,11.8,985,1260
20,18,4,7,3.6,994,1260
24,17,20,8,9.1,1062,1260
25,12,8,3,5.4,1071,1260
26,8,20,1,13.2,560,840
27,14,17,10,17.2,686,1080
29,14,9,3,8.6,405,840
30,18,1,3,22.9,688,1080
32,10,8,7,20.8,449,840
38,18,15,5,6.8,653,1080
41,6,1,3,3.5,550,840
43,2,13,5,10.2,543,840
44,14,17,7,13.8,559,840
45,3,13,2,1.4,1009,1260
47,13,15,8,11.7,769,1080
50,13,19,4,13.7,849,1260
51,6,18,9,14.7,966,1260
53,17,12,6,18.4,988,1260
55,7,17,2,26,584,840
56,5,18,2,21.2,823,1080
58,2,20,9,24.6,493,840
59,14,20,10,5.2,523,840
60,7,9,7,15.3,1022,1260
61,6,9,6,17.4,957,1260
64,14,20,2,22.2,845,1260
66,9,1,1,6.8,863,1260
69,18,17,10,14.5,859,1260
70,19,12,4,15.4,612,1080
71,16,1,1,20.1,904,1260
73,19,10,1,4.7,918,1260
76,13,8,5,20.8,801,1080
77,17,20,2,25.3,378,840
79,9,3,1,5.4,522,840
82,5,10,10,5.4,518,840
83,10,3,4,13.3,799,1080
84,1,13,9,12.4,803,1080
87,20,18,8,18.1,583,840
88,2,1,2,4.4,558,840
89,5,9,9,9.9,919,1260
91,3,6,8,20.1,927,1260
97,9,11,1,19.7,698,1080
98,12,13,10,8.2,417,840
99,19,14,3,1.3,494,840
104,11,20,5,22.3,740,1080
106,10,13,10,21.3,558,840
107,10,14,3,16.7,744,1080
108,18,8,7,22.2,995,1260
110,13,18,7,23.2,835,1080
112,7,5,7,16.2,511,840
118,10,2,1,2.1,426,840
119,9,8,3,14.8,864,1260
122,11,8,8,11,368,840
123,15,10,1,16.6,451,840
124,11,17,8,12.6,685,1080
125,19,6,7,15.7,416,840
128,2,20,6,3,621,1080
129,18,15,3,3,367,840
130,5,3,10,12.4,437,840
134,12,7,5,11.3,1052,1260
135,8,19,6,24.5,909,1260
137,19,4,2,6,1053,1260
139,17,2,1,24.4,1032,1260
141,20,1,6,7.4,808,1080
143,6,9,3,11.5,956,1260
144,8,7,7,25.3,795,1080
146,18,14,6,3.5,1074,1260
147,11,7,7,19.1,392,840
148,9,13,6,22,620,1080
150,18,20,4,16.5,984,1260
156,5,9,3,24.5,733,1080
160,18,20,6,5.8,867,1260
161,9,20,7,24,873,1260
162,12,11,1,8.4,848,1260
163,11,13,3,1.3,557,840
164,16,14,9,24,894,1260
166,6,2,5,11.2,984,1260
167,19,6,6,24.5,750,1080
171,9,14,8,12.8,474,840
173,18,15,8,10.7,533,840
175,2,15,7,23.3,993,1260
176,8,3,3,24.2,434,840
177,16,18,5,11.6,632,1080
178,9,1,3,9,374,840
179,15,19,6,19.3,653,1080
180,5,4,2,2.3,626,1080
187,20,14,7,6,632,1080
190,19,4,4,22.5,727,1080
192,17,14,6,7.9,824,1080
194,7,19,4,18.7,569,840
195,9,14,2,8.6,872,1260
197,13,7,7,22.3,778,1080
198,17,16,5,24.7,797,1080
201,14,11,7,3,729,1080
202,19,13,5,9.9,497,840
203,18,15,3,21.3,831,1080
205,2,1,10,17.6,564,840
206,3,14,8,18.4,780,1080
207,10,18,1,12.1,647,1080
208,18,2,2,8.3,636,1080
209,20,1,9,22.9,576,840
211,8,9,7,25.9,1036,1260
212,9,19,4,5.3,952,1260
213,10,20,8,20.9,849,1260
214,18,13,1,14.5,773,1080
216,17,1,10,15.8,729,1080
217,13,12,6,4.1,588,840
221,7,12,3,12.8,497,840
222,10,5,5,4.4,977,1260
224,11,15,6,15.8,450,840
226,13,7,9,7.6,1000,1260
227,14,4,8,10.9,844,1260
229,13,10,3,23.2,682,1080
232,12,6,8,25.5,476,840
239,6,8,4,5.7,893,1260
241,13,17,1,8.4,558,840
242,12,8,7,2.9,929,1260
243,6,4,10,16.2,824,1080
246,13,4,5,23.1,1009,1260
247,5,20,10,4.2,370,840
252,4,15,4,11.8,705,1080
253,13,4,4,22.5,891,1260
254,12,16,3,10.4,784,1080
255,6,4,4,22,638,1080
256,12,6,2,2,578,840
257,14,8,6,15.5,392,840
260,5,2,6,3.7,679,1080
262,10,2,1,3,652,1080
263,7,4,9,7.1,1025,1260
265,9,10,10,2.4,588,840
267,13,9,2,1.1,408,840
270,9,4,5,6.8,949,1260
272,18,1,5,8.9,594,840
273,3,13,10,2.2,585,840
274,16,19,4,3.4,776,1080
276,18,13,6,8.3,688,1080
278,17,11,8,4.6,738,1080
279,11,13,10,16.8,989,1260
285,18,10,3,22.8,813,1080
286,20,7,7,19,789,1080
287,11,5,3,6.9,737,1080
288,11,8,10,18,620,1080
289,14,20,1,11.6,666,1080
290,11,16,6,6.7,870,1260
292,3,9,5,11.5,678,1080
293,11,1,10,9,664,1080
294,15,19,8,11,455,840
295,14,15,9,24.6,584,840
296,3,19,6,3,793,1080
297,7,13,2,14.8,792,1080
298,11,5,6,5.6,725,1080
301,6,5,10,13.6,474,840
306,17,9,8,10.5,525,840
307,5,8,3,2.9,1023,1260
310,14,3,10,6.1,536,840
311,4,6,10,6.9,872,1260
312,10,12,8,3,799,1080
313,2,14,9,2.6,724,1080
314,4,3,7,12.1,995,1260
316,12,15,7,23.4,658,1080
317,12,4,5,20,713,1080
318,11,8,6,20.3,854,1260
320,6,4,1,7.4,499,840
321,19,15,8,9.6,1032,1260
323,12,20,10,15.1,479,840
324,18,9,10,13.4,731,1080
325,19,8,3,23.3,834,1080
326,5,16,7,17.7,1025,1260
327,12,3,1,10.9,878,1260
328,14,4,10,4.3,1029,1260
330,14,3,3,20.2,873,1260
331,15,9,8,25,1050,1260
332,17,1,8,10.9,562,840
336,19,6,6,12.3,668,1080
341,3,12,6,15.6,1070,1260
342,14,11,8,3.5,385,840
349,13,1,2,10.4,505,840
351,16,20,10,7.4,657,1080
352,12,10,2,24.8,630,1080
353,15,17,3,11.7,530,840
354,17,8,2,7.3,831,1080
355,8,3,2,13.5,540,840
358,4,17,5,8.9,722,1080
359,10,17,2,4.5,654,1080
360,19,4,4,10.8,384,840
361,1,9,3,14.8,525,840
362,20,10,7,25.3,685,1080
363,13,11,8,7.5,501,840
365,10,13,8,9.6,529,840
366,14,10,2,1.7,717,1080
367,13,1,7,5.6,371,840
368,13,12,3,24.7,384,840
370,15,13,10,24.7,593,840
377,1,15,8,24.6,646,1080
378,3,8,2,10.5,835,1080
379,17,3,2,19.8,1042,1260
381,13,16,8,12.8,534,840
386,7,9,1,16.8,582,840
387,11,1,3,12.6,464,840
392,11,10,2,15.9,482,840
394,17,20,2,11.9,544,840
400,10,7,4,17.1,927,1260
401,17,15,4,13.2,1078,1260
403,12,5,5,15.9,547,840
404,19,16,10,19.7,685,1080
410,1,2,10,20.4,1002,1260
411,8,1,6,12,370,840
412,8,6,5,10,865,1260
413,16,8,5,15.3,844,1260
414,1,6,6,1.2,1005,1260
415,13,4,9,15.6,621,1080
416,4,8,8,7.8,952,1260
417,16,8,7,16.5,918,1260
419,19,5,6,1.5,725,1080
420,1,17,9,12,526,840
429,10,20,10,20.4,926,1260
430,12,9,8,11.4,532,840
433,4,13,4,25.5,719,1080
434,2,7,5,7.4,762,1080
435,1,8,7,6.9,795,1080
438,8,15,4,13.6,554,840
440,8,20,9,18.1,446,840
443,8,15,4,11.6,596,840
445,3,9,3,3.7,550,840
446,12,9,4,5.1,1061,1260
447,5,4,3,8.7,641,1080
452,6,1,1,18.3,517,840
454,18,6,9,24.9,386,840
455,12,7,7,2.8,436,840
456,11,1,5,8.5,475,840
458,8,11,7,14.1,473,840
459,9,8,7,14.7,652,1080
463,10,16,6,19.9,468,840
466,3,4,8,19,393,840
467,15,19,7,23,1050,1260
469,11,10,8,21.8,580,840
476,5,18,5,18.9,544,840
477,11,17,6,17.1,478,840
482,17,2,5,7.9,982,1260
484,3,12,9,15.6,997,1260
487,18,7,4,17,602,1080
488,15,6,6,10.3,439,840
491,20,9,6,10.1,597,840
493,7,20,3,11.1,890,1260
499,14,2,9,4.3,623,1080
500,1,14,10,14.6,944,1260
503,5,14,9,11.1,435,840
505,3,7,6,8,995,1260
506,8,7,10,18.9,549,840
507,1,17,8,13,716,1080
511,11,14,7,21.9,577,840
512,14,15,6,8.4,827,1080
514,10,6,10,15.9,451,840
515,18,13,5,19,894,1260
517,16,3,8,8.5,1008,1260
518,8,17,1,8.3,1020,1260
521,1,19,1,19.4,808,1080
523,6,8,10,2.7,568,840
524,8,3,10,11.8,613,1080
525,7,15,8,19.7,973,1260
526,15,17,10,19.9,755,1080
528,4,8,3,6.6,388,840
529,11,1,7,25.4,586,840
530,12,3,2,18.7,743,1080
532,15,7,6,25.7,857,1260
534,3,10,1,22.6,407,840
535,2,11,7,21.9,838,1080
540,12,2,10,6.5,996,1260
541,20,7,6,13.3,974,1260
542,11,16,3,16.4,1035,1260
543,4,16,9,10.7,1073,1260
544,3,8,4,8.6,629,1080
546,16,6,5,20.8,674,1080
547,1,16,8,9.3,757,1080
548,19,5,2,21,827,1080
550,15,20,6,10.1,906,1260
552,3,14,6,18.1,977,1260
554,5,11,5,14,858,1260
555,16,17,8,3.9,787,1080
556,6,16,4,1.5,391,840
557,10,14,6,7.6,716,1080
559,2,15,6,22,861,1260
560,2,19,2,6.8,396,840
562,7,17,5,20,377,840
563,20,5,7,24.4,690,1080
565,9,8,10,19,385,840
571,14,18,5,4.6,1019,1260
572,2,14,2,21.6,964,1260
574,3,8,9,22.9,513,840
578,7,13,8,7.4,943,1260
580,7,10,8,9.7,394,840
583,9,5,8,2.6,931,1260
586,5,8,3,23.7,564,840
589,3,19,8,15.5,979,1260
591,18,8,2,25.5,781,1080
593,8,18,8,18.6,847,1260
594,4,10,6,14.9,508,840
597,17,18,2,17.5,924,1260
598,6,20,9,15.8,850,1260
599,15,16,3,6,384,840
600,7,3,3,24,1004,1260
602,5,19,3,3.9,929,1260
603,17,6,2,11.1,654,1080
604,12,3,10,14.4,677,1080
606,15,19,2,18.7,861,1260
607,12,15,4,25.9,645,1080
608,19,8,10,4.5,654,1080
609,18,7,8,19.9,766,1080
612,15,18,4,3.5,1040,1260
614,11,3,6,6,936,1260
615,2,4,8,4.7,763,1080
616,18,13,7,24.4,423,840
618,15,18,10,16.8,489,840
622,19,13,3,9.9,813,1080
623,20,8,9,6.3,598,840
625,20,14,4,13.6,512,840
627,18,2,2,25.2,563,840
628,9,4,8,17,792,1080
634,11,16,2,16.3,759,1080
646,12,19,10,11.1,923,1260
647,3,6,8,20.8,917,1260
649,6,14,10,11.1,729,1080
650,5,10,2,22.1,472,840
654,8,15,6,8.1,457,840
655,8,7,9,13.8,438,840
656,1,10,1,15.6,516,840
657,13,17,8,1.3,754,1080
