k,o_k,d_k,w_k,q_k,e_k,l_k
19,4,2,2,17.24,985,1260
20,3,1,7,13.28,994,1260
92,3,5,10,29.29,512,840
142,5,3,10,19.68,474,840
147,4,3,7,16.72,392,840
165,3,2,7,4.28,1018,1260
183,4,2,2,21.09,465,840
194,3,1,4,31.17,569,840
335,3,2,3,28.68,625,1080
355,4,2,2,31.1,540,840
393,5,1,9,11.28,649,1080
396,4,5,7,10.55,636,1080
432,4,2,9,5.47,998,1260
505,3,4,6,25.83,995,1260
526,1,5,10,32.44,755,1080
555,2,1,8,7.48,787,1080
612,2,5,4,18.65,1040,1260
738,5,2,9,28.74,974,1260
905,5,4,10,6.68,556,840
921,5,3,10,8.89,536,840
944,2,1,8,16.01,415,840
1086,5,2,1,15.3,932,1260
1134,3,1,8,9.84,901,1260
1140,1,4,10,14.88,671,1080
1148,4,1,10,8.42,366,840
1199,5,4,10,18.24,385,840
1363,3,1,2,17.48,931,1260
1364,4,3,6,13.17,664,1080
1373,5,4,7,6.46,928,1260
1375,2,3,3,25.16,564,840
1405,4,1,10,18.01,896,1260
1477,2,4,3,19.11,741,1080
1507,1,4,10,6.5,425,840
1535,5,3,3,5.59,597,840
1691,1,5,10,22.43,593,840
1821,5,3,4,4.55,731,1080
1827,3,4,3,15.83,583,840
1906,3,5,4,25.52,660,1080
1908,5,1,1,12.93,632,1080
1951,2,5,6,18.79,424,840
2060,3,1,7,11.03,604,1080
2170,1,5,10,25.91,1032,1260
2225,2,4,2,16.8,1041,1260
2295,4,3,1,15.78,834,1080
2296,4,5,3,24.75,458,840
2328,5,4,4,28.26,996,1260
2334,4,2,9,12.85,468,840
2338,1,2,6,12.84,950,1260
2371,4,3,9,29.76,874,1260
2397,5,3,2,14.17,1058,1260
2409,5,2,9,12.86,519,840
2464,3,1,6,11.89,1005,1260
2527,1,3,4,10.91,806,1080
2551,3,4,5,11.74,812,1080
2581,1,3,10,17.29,1007,1260
2621,4,3,1,30.49,488,840
2624,1,3,9,26.69,489,840
2632,4,3,6,5.56,471,840
2643,4,3,7,29.57,492,840
2665,1,2,9,8.58,768,1080
2679,4,1,3,15.68,459,840
2715,3,5,8,5.02,560,840
2731,1,3,8,21.35,526,840
2767,3,1,10,15.44,934,1260
2773,5,4,9,25.02,896,1260
2801,4,5,8,10.66,741,1080
2815,1,3,8,15.55,605,1080
2883,2,4,10,7.67,549,840
2890,4,5,7,22.68,850,1260
2906,3,4,3,4.15,764,1080
2921,5,1,4,30.58,754,1080
2925,2,1,5,6.48,930,1260
2955,4,5,7,11.8,922,1260
2959,1,3,6,7.26,590,840
3000,4,3,3,32.08,361,840
3006,2,3,8,27.24,532,840
3014,1,5,5,6.87,833,1080
3036,2,1,9,24.58,926,1260
3063,4,5,10,8.71,600,1080
3079,1,2,8,17.96,598,840
3205,2,4,2,31.8,479,840
3247,1,3,4,19.8,834,1080
3258,2,1,4,30.16,634,1080
3262,5,4,5,28.76,990,1260
3305,5,1,7,20.68,704,1080
3349,2,4,1,6.1,582,840
3376,5,4,7,24.36,729,1080
3455,1,2,7,28.34,422,840
3470,4,5,5,21.01,978,1260
3523,5,3,1,13.76,773,1080
3637,4,1,5,16.46,828,1080
3649,5,4,10,5.74,678,1080
3666,2,4,10,31.2,943,1260
3690,5,1,10,16.17,558,840
3758,2,5,7,5.92,395,840
3759,4,1,4,24.42,742,1080
3775,1,4,4,31.58,596,840
3840,3,4,8,15.17,759,1080
3843,5,1,6,4.14,924,1260
3920,4,3,10,12.06,789,1080
3945,3,2,4,16.85,646,1080
4012,4,5,8,4.86,752,1080
4125,1,5,5,20.97,910,1260
4152,4,3,10,15.37,484,840
4290,1,5,7,21.6,569,840
4343,2,4,3,32.31,743,1080
4398,3,1,5,27.47,737,1080
4407,5,4,10,19.79,446,840
4521,4,1,4,11.97,657,1080
4611,2,4,10,19.59,772,1080
4644,3,2,1,8,1079,1260
4677,4,2,9,18.77,437,840
4714,2,3,6,10.09,650,1080
4795,5,2,7,9.48,826,1080
4807,5,4,2,13.59,932,1260
4837,1,4,8,16.16,601,1080
4860,1,5,5,7.84,944,1260
4865,2,5,3,30.1,1071,1260
4904,4,3,8,13.49,975,1260
4918,1,2,8,10.19,630,1080
4935,3,2,9,24.64,424,840
4966,2,5,8,21.87,934,1260
4970,3,5,3,4.99,440,840
5007,2,1,8,11.38,717,1080
5054,3,2,10,30.34,1039,1260
5089,4,1,9,6.11,366,840
5094,5,3,10,12.6,536,840
5142,2,1,7,12.97,915,1260
5239,3,4,4,20.06,783,1080
5284,5,3,5,27.36,606,1080
5286,2,1,6,28.2,699,1080
5328,3,4,1,20.12,1032,1260
5357,4,1,2,16.43,368,840
5422,2,3,2,18.8,895,1260
5573,4,5,2,27.4,1077,1260
5670,3,1,3,20.14,959,1260
5773,5,3,7,14.01,513,840
5780,5,1,2,26.47,655,1080
5859,1,5,10,21.33,789,1080
5860,1,2,3,20.56,951,1260
5874,5,3,9,5.6,408,840
5891,2,3,4,13.64,837,1080
5937,2,3,8,10.27,883,1260
5945,4,1,2,20.77,984,1260
5964,5,1,10,5.57,896,1260
6008,1,4,1,15.03,785,1080
6031,3,4,1,17.11,390,840
6176,4,5,1,22.8,604,1080
6182,2,4,4,17.02,428,840
6206,1,3,5,5.21,912,1260
6217,1,4,10,22.06,1065,1260
6238,3,2,4,28.36,1014,1260
6256,4,3,2,22.01,895,1260
6313,2,3,5,22.48,715,1080
6333,4,1,7,7.6,913,1260
6356,1,5,6,7.77,814,1080
6398,3,4,6,29.8,554,840
6464,2,5,6,19.44,603,1080
6469,2,4,3,12.57,451,840
6572,3,5,2,24.09,883,1260
6647,3,4,7,23.14,407,840
6759,2,3,5,12.15,781,1080
6772,2,4,9,21.05,583,840
6775,3,5,4,17.51,526,840
6807,4,1,1,16.1,995,1260
6820,5,4,7,19.69,741,1080
6832,3,5,2,17.12,622,1080
6833,1,4,5,22.21,602,1080
6877,2,1,6,9.32,580,840
6969,4,2,8,25.84,966,1260
7112,1,4,1,4.47,456,840
7264,5,1,9,8.19,660,1080
7270,1,5,4,6.64,921,1260
7294,5,1,4,28.8,862,1260
7302,3,2,7,32.43,805,1080
7310,5,3,4,6.2,1037,1260
7390,1,3,10,4.86,687,1080
7427,3,2,5,27.86,932,1260
7434,4,1,4,19.74,486,840
7435,2,3,10,4.71,495,840
7488,2,5,9,29.42,486,840
7497,2,3,10,26.92,789,1080
7506,3,1,9,15.3,395,840
7528,3,2,1,13.63,1015,1260
7539,4,3,7,6.3,675,1080
7572,1,4,2,9.73,780,1080
7595,4,5,2,16.19,553,840
