k,o_k,d_k,w_k,q_k,e_k,l_k
8,3,18,5,25.5,648,1080
49,2,12,4,22.6,942,1260
60,7,9,7,15.3,1022,1260
117,13,20,10,15.3,863,1260
148,9,13,6,22,620,1080
313,2,14,9,2.6,724,1080
465,13,18,2,19.7,536,840
533,4,5,3,9.2,913,1260
703,6,3,10,18.7,855,1260
731,11,17,9,7.3,538,840
767,11,9,8,4.9,922,1260
828,4,19,3,6.2,583,840
905,15,4,10,18.6,556,840
1069,16,8,9,21.3,830,1080
1072,17,15,10,9.4,570,840
1122,16,17,2,25.6,691,1080
1318,3,14,6,11.7,867,1260
1414,8,5,4,20.7,505,840
1566,13,20,2,1.8,559,840
1740,9,13,3,21.9,894,1260
1787,14,9,7,6.2,421,840
1860,18,14,9,25,1056,1260
1883,8,5,7,14.6,523,840
2359,16,2,4,10.8,762,1080
2377,9,7,7,21.7,804,1080
2421,4,19,1,10.6,1010,1260
2542,6,20,7,16.2,784,1080
2564,14,16,4,6.5,928,1260
2635,20,16,8,17.4,908,1260
2776,9,18,4,12.8,472,840
2925,15,4,5,17.5,930,1260
3024,6,2,1,21.7,747,1080
3032,3,8,3,1.1,780,1080
3174,6,10,4,7.9,1075,1260
3187,15,18,7,17.2,746,1080
3391,2,11,10,19.7,1031,1260
3589,10,13,3,21.1,835,1080
3659,3,13,8,17.1,619,1080
3713,13,19,5,20.7,999,1260
3749,16,6,6,14.8,1066,1260
3802,7,13,7,4.3,410,840
3808,12,2,8,10.4,684,1080
3896,6,14,1,22.6,695,1080
3904,1,4,3,23.6,891,1260
4085,10,7,5,4,440,840
4099,7,1,4,2.9,994,1260
4229,14,12,3,7.9,959,1260
4262,12,13,3,21,641,1080
4395,5,4,1,7.9,427,840
4405,9,2,5,9.7,603,1080
4597,20,7,3,6,614,1080
4803,1,18,9,24.6,662,1080
4812,18,10,8,3.3,784,1080
4817,14,11,6,2.5,412,840
4830,10,12,5,25.2,1000,1260
4894,9,4,1,6.1,447,840
5016,8,14,1,20.7,807,1080
5158,15,14,2,5.3,373,840
5235,17,7,6,21.7,705,1080
5237,7,4,7,12.9,490,840
5297,8,11,5,21.7,547,840
5458,1,13,9,11.2,1018,1260
5544,1,17,3,20.6,977,1260
5578,4,14,4,25.5,943,1260
5609,4,1,5,19.1,376,840
6039,19,10,10,22.9,660,1080
6051,20,4,9,7.7,825,1080
6415,15,16,1,19.2,576,840
6449,1,18,2,5.8,781,1080
6550,15,19,3,8,503,840
6580,19,11,9,25.3,653,1080
6726,15,20,2,22.8,731,1080
6738,17,11,3,2.4,638,1080
6857,5,20,9,3.3,500,840
6884,1,2,8,20.3,479,840
6921,11,6,8,5.8,920,1260
7034,10,11,1,6.4,583,840
7136,15,8,4,19.5,719,1080
7679,18,3,8,17.1,552,840
7720,8,19,1,23.7,1002,1260
8080,6,20,4,11.3,362,840
8164,7,19,9,8,618,1080
8209,4,16,9,6.2,872,1260
8290,2,15,4,5.4,380,840
8401,12,6,3,9.4,792,1080
8567,9,2,5,22.1,605,1080
8578,3,12,7,17.5,516,840
8607,12,7,1,10.9,1063,1260
8618,7,17,3,21.7,1001,1260
8697,11,13,3,25.5,744,1080
8896,9,7,10,4.2,708,1080
8897,10,9,10,23.1,574,840
9221,10,20,3,3.7,1002,1260
9236,9,20,9,4.6,965,1260
9251,18,4,5,5.5,800,1080
9258,4,15,2,21.2,454,840
9284,9,5,1,15.6,623,1080
9496,15,1,7,3.9,1074,1260
9571,15,18,5,9.9,1013,1260
9809,17,7,2,7.9,413,840
