k,o_k,d_k,w_k,q_k,e_k,l_k
2,1,2,10,21.01,899,1260
4,4,3,4,10.25,840,1260
7,4,3,2,23.69,873,1260
8,2,4,5,17.21,648,1080
9,1,4,3,6.28,487,840
10,3,1,6,7.21,789,1080
11,4,1,2,24.77,686,1080
13,3,5,7,25.63,396,840
14,5,2,6,11.08,416,840
16,1,5,8,25.88,869,1260
17,5,2,6,20.69,732,1080
19,4,2,2,7.54,985,1260
20,3,1,7,32.09,994,1260
24,3,4,8,23.08,1062,1260
25,5,2,3,18.45,1071,1260
26,3,5,1,19.15,560,840
27,4,1,10,32.19,686,1080
29,4,2,3,30.38,405,840
30,2,4,3,26.75,688,1080
32,3,2,7,31.68,449,840
38,4,1,5,9.3,653,1080
41,4,1,3,15.63,550,840
43,3,2,5,12.96,543,840
44,5,4,7,27.81,559,840
45,1,5,2,4.9,1009,1260
47,5,2,8,15.61,769,1080
50,4,3,4,30.41,849,1260
51,3,2,9,24.78,966,1260
53,3,5,6,19.56,988,1260
55,5,3,2,12.41,584,840
56,2,5,2,15.33,823,1080
58,4,2,9,22.99,493,840
59,3,5,10,16.5,523,840
60,3,1,7,18.66,1022,1260
61,1,2,6,15.83,957,1260
64,1,3,2,10.56,845,1260
66,4,2,1,9.59,863,1260
69,5,2,10,26.36,859,1260
70,5,4,4,20.53,612,1080
71,1,4,1,19.77,904,1260
73,2,4,1,14.65,918,1260
76,1,2,5,5.82,801,1080
77,5,4,2,9.26,378,840
79,4,2,1,23.97,522,840
82,2,5,10,6.69,518,840
83,1,4,4,11.89,799,1080
84,4,3,9,13.2,803,1080
87,1,4,8,30.64,583,840
88,3,1,2,26.65,558,840
89,4,5,9,27.56,919,1260
91,5,3,8,31.19,927,1260
97,5,1,1,19.46,698,1080
98,4,2,10,8.36,417,840
99,1,2,3,24.01,494,840
104,4,5,5,12.4,740,1080
106,1,2,10,6.37,558,840
107,3,2,3,12.87,744,1080
108,4,1,7,7,995,1260
110,3,2,7,8.97,835,1080
112,4,1,7,18.86,511,840
118,4,1,1,7.2,426,840
119,5,3,3,4.2,864,1260
122,3,1,8,25.67,368,840
123,2,1,1,25.65,451,840
124,3,4,8,32.22,685,1080
125,2,5,7,19.49,416,840
128,2,3,6,28.01,621,1080
129,2,4,3,14.82,367,840
130,1,2,10,17.75,437,840
134,3,4,5,5,1052,1260
135,2,4,6,30.05,909,1260
137,5,3,2,11.01,1053,1260
139,4,1,1,14.87,1032,1260
141,1,4,6,25.39,808,1080
143,3,2,3,15.83,956,1260
144,4,2,7,21.68,795,1080
146,3,4,6,10.78,1074,1260
147,4,3,7,6.76,392,840
148,2,1,6,19.8,620,1080
150,4,5,4,7.94,984,1260
156,4,3,3,10.81,733,1080
160,5,4,6,16.58,867,1260
161,3,1,7,9.38,873,1260
162,4,5,1,12.83,848,1260
163,2,1,3,32.1,557,840
164,3,2,9,22.75,894,1260
166,2,1,5,22.7,984,1260
167,2,3,6,4.07,750,1080
171,1,2,8,22.06,474,840
173,4,1,8,18.53,533,840
175,3,1,7,10.99,993,1260
176,4,2,3,4.03,434,840
177,2,1,5,15.24,632,1080
178,1,2,3,12.07,374,840
179,4,5,6,30.69,653,1080
180,4,5,2,26.24,626,1080
187,4,2,7,5.97,632,1080
190,4,2,4,24.09,727,1080
192,4,3,6,17.99,824,1080
194,3,1,4,7.45,569,840
195,3,2,2,30.88,872,1260
197,1,3,7,13.63,778,1080
198,1,4,5,23.83,797,1080
201,5,3,7,11.73,729,1080
202,5,2,5,7.84,497,840
203,3,4,3,8.15,831,1080
205,3,2,10,31.16,564,840
206,2,3,8,14.72,780,1080
207,4,1,1,21.99,647,1080
208,1,3,2,22.42,636,1080
209,5,4,9,15.3,576,840
211,3,4,7,16.81,1036,1260
212,3,5,4,20.4,952,1260
213,2,4,8,20.86,849,1260
214,2,1,1,11.54,773,1080
216,2,1,10,5.66,729,1080
217,2,1,6,10.97,588,840
221,5,3,3,26.83,497,840
222,2,3,5,26.18,977,1260
224,4,5,6,7.23,450,840
226,3,2,9,17.07,1000,1260
227,5,2,8,10.15,844,1260
229,1,5,3,30.47,682,1080
