k,o_k,d_k,w_k,q_k,e_k,l_k
8,5,6,5,10.51,648,1080
49,8,6,4,33.16,942,1260
60,4,2,7,18.64,1022,1260
117,2,4,10,27.65,863,1260
148,4,9,6,9.19,620,1080
313,7,2,9,18.82,724,1080
465,1,10,2,21.21,536,840
533,5,9,3,16.31,913,1260
703,9,1,10,34.87,855,1260
731,7,5,9,35.01,538,840
767,2,7,8,29.46,922,1260
828,8,10,3,35.93,583,840
905,10,2,10,30.69,556,840
1069,8,9,9,17.02,830,1080
1072,3,2,10,8.86,570,840
1122,9,7,2,7.84,691,1080
1318,8,4,6,31.86,867,1260
1414,7,3,4,25.44,505,840
1566,10,1,2,9.91,559,840
1740,10,5,3,6.34,894,1260
1787,3,1,7,8.11,421,840
1860,10,7,9,19.39,1056,1260
1883,7,2,7,31.14,523,840
2359,7,9,4,23.37,762,1080
2377,8,4,7,34.75,804,1080
2421,1,2,1,7.2,1010,1260
2542,4,3,7,16.22,784,1080
2564,1,6,4,7.38,928,1260
2635,6,3,8,9.53,908,1260
2776,5,7,4,36.75,472,840
2925,4,8,5,33.51,930,1260
3024,9,7,1,36.29,747,1080
3032,4,3,3,29.73,780,1080
3174,7,9,4,28.21,1075,1260
3187,7,5,7,16.91,746,1080
3391,4,8,10,18.2,1031,1260
3589,4,7,3,30.87,835,1080
3659,3,10,8,10.71,619,1080
3713,7,4,5,5.83,999,1260
3749,5,7,6,10.88,1066,1260
3802,3,7,7,33.86,410,840
3808,1,2,8,30.02,684,1080
3896,3,7,1,15.9,695,1080
3904,1,5,3,24.42,891,1260
4085,4,6,5,32.87,440,840
4099,3,2,4,12.9,994,1260
4229,2,1,3,32.24,959,1260
4262,2,10,3,5.7,641,1080
4395,8,5,1,12.18,427,840
4405,1,4,5,4.01,603,1080
4597,10,2,3,28.96,614,1080
4803,10,7,9,12.19,662,1080
4812,7,6,8,30.06,784,1080
4817,7,3,6,25.25,412,840
4830,3,9,5,5.23,1000,1260
4894,6,8,1,34.73,447,840
5016,10,9,1,14.55,807,1080
5158,3,9,2,22.38,373,840
5235,1,2,6,5.32,705,1080
5237,6,7,7,27.11,490,840
5297,1,10,5,25.92,547,840
5458,1,10,9,4.17,1018,1260
5544,2,8,3,21.97,977,1260
5578,8,9,4,30.64,943,1260
5609,10,3,5,37.38,376,840
6039,6,10,10,22.81,660,1080
6051,8,6,9,8.32,825,1080
6415,7,6,1,18.56,576,840
6449,1,2,2,22.21,781,1080
6550,8,6,3,15.39,503,840
6580,5,3,9,32.5,653,1080
6726,6,1,2,12.66,731,1080
6738,4,9,3,12.62,638,1080
6857,7,4,9,19.54,500,840
6884,10,1,8,27.87,479,840
6921,6,4,8,32.64,920,1260
7034,8,9,1,24.42,583,840
7136,1,3,4,18.93,719,1080
7679,6,1,8,25.01,552,840
7720,8,1,1,37.78,1002,1260
8080,9,8,4,11.91,362,840
8164,7,4,9,7.87,618,1080
8209,3,8,9,8.26,872,1260
8290,4,7,4,35.36,380,840
8401,7,6,3,36.55,792,1080
8567,3,8,5,20.74,605,1080
8578,10,6,7,23.08,516,840
8607,8,5,1,35.53,1063,1260
8618,1,7,3,5.95,1001,1260
8697,10,3,3,29.71,744,1080
8896,3,6,10,17.48,708,1080
8897,9,6,10,23.02,574,840
9221,1,2,3,36.06,1002,1260
9236,4,3,9,24.03,965,1260
9251,7,10,5,21.89,800,1080
9258,5,3,2,22.18,454,840
9284,7,10,1,25.16,623,1080
9496,4,8,7,36.25,1074,1260
9571,8,1,5,31.51,1013,1260
9809,4,5,2,11.37,413,840
