k,o_k,d_k,w_k,q_k,e_k,l_k
2,5,1,10,11.09,899,1260
4,10,9,4,11.76,840,1260
7,6,4,2,21.78,873,1260
8,5,6,5,27.59,648,1080
9,9,8,3,11.38,487,840
10,4,6,6,10.86,789,1080
11,7,9,2,32.51,686,1080
13,5,6,7,10.1,396,840
14,6,1,6,31.95,416,840
16,2,6,8,7.11,869,1260
17,3,2,6,13.27,732,1080
19,10,3,2,16.77,985,1260
20,7,10,7,14.37,994,1260
24,6,8,8,32.93,1062,1260
25,7,5,3,4.93,1071,1260
26,10,4,1,9.02,560,840
27,3,6,10,23.72,686,1080
29,3,9,3,36.67,405,840
30,9,5,3,14.01,688,1080
32,7,10,7,13.19,449,840
38,3,1,5,11.22,653,1080
41,8,5,3,37.11,550,840
43,6,10,5,20.83,543,840
44,1,7,7,12.61,559,840
45,9,10,2,30.06,1009,1260
47,8,5,8,29.32,769,1080
50,6,5,4,11.22,849,1260
51,5,4,9,33.84,966,1260
53,2,4,6,19.04,988,1260
55,9,7,2,36.05,584,840
56,7,1,2,37.09,823,1080
58,1,9,9,16.64,493,840
59,7,2,10,26.95,523,840
60,4,2,7,15.75,1022,1260
61,10,2,6,17.18,957,1260
64,6,7,2,14.71,845,1260
66,7,4,1,25.55,863,1260
69,7,9,10,29.3,859,1260
70,3,6,4,16.68,612,1080
71,5,8,1,30.51,904,1260
73,2,8,1,13.82,918,1260
76,1,2,5,37.01,801,1080
77,2,9,2,18.25,378,840
79,1,6,1,36.72,522,840
82,4,6,10,8.98,518,840
83,1,8,4,10.61,799,1080
84,2,8,9,24.24,803,1080
87,1,2,8,24,583,840
88,1,6,2,15.47,558,840
89,7,10,9,14.39,919,1260
91,3,1,8,33.39,927,1260
97,7,6,1,27.69,698,1080
98,6,5,10,12.06,417,840
99,10,2,3,22.66,494,840
104,4,9,5,14.44,740,1080
106,4,8,10,32.05,558,840
107,10,9,3,24.57,744,1080
108,2,10,7,28.62,995,1260
110,3,8,7,15.38,835,1080
112,1,9,7,31.01,511,840
118,6,7,1,28.72,426,840
119,7,8,3,18.46,864,1260
122,5,9,8,30.79,368,840
123,2,8,1,18.47,451,840
124,8,7,8,35.19,685,1080
125,3,5,7,24.22,416,840
128,10,8,6,12.86,621,1080
129,1,6,3,21.31,367,840
130,1,3,10,27.69,437,840
134,10,2,5,18.02,1052,1260
135,3,8,6,21.85,909,1260
137,2,10,2,19.1,1053,1260
139,10,9,1,19.58,1032,1260
141,1,4,6,8.75,808,1080
143,1,7,3,37.58,956,1260
144,1,6,7,23.59,795,1080
146,4,2,6,4.03,1074,1260
147,2,10,7,23.95,392,840
148,4,9,6,35.6,620,1080
150,9,5,4,20.75,984,1260
156,9,3,3,31.67,733,1080
160,10,5,6,12,867,1260
161,8,6,7,26.02,873,1260
162,5,8,1,6.53,848,1260
163,8,6,3,15.67,557,840
164,7,9,9,24.15,894,1260
166,3,4,5,4.14,984,1260
167,9,4,6,35.82,750,1080
171,9,5,8,20.22,474,840
173,4,2,8,25.97,533,840
175,2,5,7,33.23,993,1260
176,4,7,3,9.01,434,840
177,1,4,5,8.59,632,1080
178,2,3,3,9.64,374,840
179,9,2,6,22.3,653,1080
180,7,4,2,20.36,626,1080
187,1,5,7,20.8,632,1080
190,9,1,4,37.59,727,1080
192,9,7,6,10.59,824,1080
194,9,3,4,10.15,569,840
195,1,10,2,11.49,872,1260
197,4,8,7,11.14,778,1080
198,9,6,5,15.53,797,1080
201,10,2,7,31.31,729,1080
202,1,4,5,11.18,497,840
203,2,10,3,25.89,831,1080
205,6,3,10,19.11,564,840
206,4,10,8,24.5,780,1080
207,10,6,1,8.71,647,1080
208,7,4,2,35.01,636,1080
209,4,7,9,29.33,576,840
211,5,3,7,22.62,1036,1260
212,5,7,4,34.61,952,1260
213,6,1,8,22.24,849,1260
214,10,1,1,4.61,773,1080
216,5,2,10,35.67,729,1080
217,6,2,6,16.45,588,840
221,4,5,3,6.55,497,840
222,2,6,5,6.2,977,1260
224,1,4,6,11.58,450,840
226,8,6,9,35.37,1000,1260
227,9,6,8,37.78,844,1260
229,3,7,3,4,682,1080
232,10,4,8,25.44,476,840
239,1,10,4,30.49,893,1260
241,4,9,1,34.43,558,840
242,3,4,7,15.9,929,1260
243,5,6,10,7.63,824,1080
246,3,5,5,12.37,1009,1260
247,4,1,10,26.3,370,840
252,8,9,4,14.47,705,1080
253,4,5,4,14.9,891,1260
254,7,5,3,24.37,784,1080
255,8,6,4,37.39,638,1080
256,8,1,2,34.03,578,840
257,8,4,6,16.57,392,840
260,9,2,6,23.12,679,1080
262,5,9,1,34.23,652,1080
263,10,8,9,30.02,1025,1260
265,3,5,10,31.68,588,840
267,1,6,2,9.53,408,840
270,6,2,5,22.12,949,1260
272,8,9,5,30.69,594,840
273,7,6,10,15.35,585,840
274,8,6,4,23.16,776,1080
276,5,7,6,15.83,688,1080
278,7,3,8,30.25,738,1080
279,6,3,10,17.25,989,1260
285,4,7,3,23.31,813,1080
286,5,6,7,8.43,789,1080
287,8,7,3,18.31,737,1080
288,2,5,10,18.48,620,1080
289,7,3,1,5.68,666,1080
290,6,9,6,11.65,870,1260
292,5,6,5,30.72,678,1080
293,7,4,10,34.88,664,1080
294,4,1,8,11.92,455,840
295,9,2,9,9.89,584,840
296,2,10,6,25.57,793,1080
297,1,9,2,20.37,792,1080
298,1,9,6,15.58,725,1080
301,5,3,10,16.41,474,840
306,3,8,8,28.82,525,840
307,8,9,3,26.71,1023,1260
310,9,8,10,5.14,536,840
311,3,1,10,15.79,872,1260
312,3,1,8,22.77,799,1080
313,7,2,9,25.07,724,1080
314,10,6,7,4.32,995,1260
316,5,3,7,30.97,658,1080
317,7,9,5,31.05,713,1080
318,5,7,6,4.36,854,1260
320,4,8,1,35.92,499,840
321,7,1,8,8.41,1032,1260
323,4,7,10,32.74,479,840
324,4,5,10,34.91,731,1080
325,5,9,3,11.02,834,1080
326,7,2,7,18.67,1025,1260
327,1,2,1,11.53,878,1260
328,6,5,10,15.33,1029,1260
330,1,3,3,27.09,873,1260
331,5,9,8,28.11,1050,1260
332,5,6,8,33.46,562,840
336,3,10,6,14.7,668,1080
341,5,4,6,36.57,1070,1260
342,2,10,8,30.74,385,840
349,10,5,2,22.95,505,840
351,4,1,10,10.58,657,1080
352,4,2,2,22.41,630,1080
353,2,5,3,26,530,840
354,4,7,2,6.79,831,1080
355,3,10,2,27.36,540,840
358,2,1,5,34.97,722,1080
359,4,1,2,27.08,654,1080
360,4,5,4,24.91,384,840
361,7,5,3,12.72,525,840
362,7,2,7,6.05,685,1080
363,2,10,8,9.38,501,840
365,4,8,8,32.25,529,840
366,9,5,2,17.95,717,1080
367,7,10,7,29.35,371,840
368,1,4,3,29.03,384,840
370,6,4,10,11.41,593,840
377,7,6,8,37.09,646,1080
378,1,9,2,16.57,835,1080
379,6,4,2,7.15,1042,1260
381,1,9,8,26.82,534,840
386,7,4,1,29.15,582,840
